Sample Ida,USGS gauging station ID,Latitude (°N),Longitude (°W),Mean lat.(°N)b,Mean long. (°W)b,Mean elev. (m asl)b,Avg. basin slope (°)c,Basin area (km2),Basin relief (m),Physiographic provinced,Land usee,Mean ann. precip. (cm yr-1)
POT01,01646580,38.930571,77.116148,39.1646,78.3821,387,8.8,30000.34,1482,VR,T,100
POT02,01650500,39.064727,77.028419,39.1077,77.0333,130,3.5,55.32,90,P,U,107
POT04,01647740,39.105904,77.125032,39.148,77.1409,143,3,43.75,96,P,U,105
POT05,01647720,39.1179,77.100871,39.1463,77.0953,140,2.8,24.27,74,P,U,106
POT06,01638500,39.27235,77.546222,39.1331,78.5789,432,10,25020.93,1425,VR,T,100
POT09,01656120,38.640112,77.512321,38.6458,77.674,113,2.8,459.29,359,P,A,103
POT10,01631000,38.914248,78.209969,38.3639,78.8516,494,9.4,4226.82,1211,VR,F,102
POT11,01603000,39.621466,78.7737,39.532,79.0409,658,10.5,2273.54,1080,AP,F,108
POT12,01614500,39.715704,77.824155,39.9156,77.7381,266,5.6,1321.09,628,VR,A,102
POT13,01639000,39.715704,77.824155,39.8122,77.2481,192,3.1,448.99,507,P,A,105
POT14,,39.586971,77.464085,39.5889,77.4863,477,8.7,14.71,298,BR,F,111
POT15,,39.306916,77.651142,39.2838,77.672,167,4.9,33.11,357,BR,A,100
POT16,,39.708375,77.411599,39.7046,77.4442,361,8.2,26.74,296,BR,F,109
POT17,,39.479666,77.327614,39.4753,77.2971,152,5.4,10.02,109,P,A,101
POT18,,39.210672,77.310759,39.2305,77.3077,173,5,13.67,86,P,A,102
POT19,,39.154325,77.131963,39.1742,77.1376,155,2.6,15.05,66,P,A,105
POT20,,39.021751,76.860352,39.0238,76.8481,53,2,24.54,56,C,U,108
POT21,,38.831217,76.919746,38.8347,76.9004,79,2.7,18.44,42,C,U,105
POT22,,38.755388,76.841726,38.784,76.8573,73,1.8,26.81,40,C,U,105
POT23,,38.759003,76.941934,38.7815,76.9091,76,2.2,29.89,47,C,U,105
POT24,,38.664503,76.879363,38.682,76.8701,69,0.9,10.94,21,C,A,105
POT25,,38.542057,77.017593,38.5761,76.9937,57,2.8,41.77,55,C,F,104
POT26,,38.422865,77.213202,38.4612,77.2141,33,1.8,35.75,43,C,F,101
POT27,,38.483023,77.084112,38.5142,77.0821,47,3.4,21.63,52,C,F,103
POT28,,38.441724,77.540603,38.4614,77.5592,99,2.9,15.69,61,P,F,104
POT29,,38.566422,77.672696,38.5507,77.6748,109,2.2,9.68,63,P,F,104
POT30,,38.629276,77.764106,38.6472,77.7873,140,1.9,21.68,81,P,A,105
