Sample Ida,[9Bereac] (atoms g-1)b,[9Bemin] (atoms g-1)b,10Bei LLNL #,Quartz mass (g),9Be Carrier Mass (μg),Blank-corrected AMS 10Bei/9Becarrier ratio , Blank-corrected AMS 10Bei/9Becarrier ratio ± 1σ,[10Bei] (atoms g-1),[10Bei] (atoms g-1) ± 1σ ,10Bei prod. Rate (atoms g-1 yr-1)c,10Bem LLNL #,Sample mass (g),9Be Carrier Mass (μg),Blank-corrected AMS 10Bemet/9Becarrier ratio ,Blank-corrected AMS 10Bemet/9Becarrier ratio  ± 1σ,[10Bem] (atoms g-1),[10Bem] (atoms g-1)d ± 1σ,10Bem deposition rate (atoms cm-2 yr-1 x106)e,
01638500,,,,,,,,,,,,,,,,421000000,,1.89,
01643000,,,,,,,,,,,,,,,,850000000,,1.98,
01610200,,,,,,,,,,,,,,,,458000000,,1.84,
POT01,2.77E+16,4.91386E+16,BE29062,20.28,249.1,3.44437E-13,6.74478E-15,282715.9779,5536.166016,5.72,BE27095,0.551,300.4,5.30932E-12,1.16048E-13,193000000,4200000,1.89,
POT02,1.48E+16,1.9853E+16,BE29063,21.3,248.8,2.3562E-13,5.79999E-15,183926.4198,4527.507552,4.49,BE27096,0.519,300.4,2.08157E-12,3.0264E-14,81000000,1200000,2.02,
POT04,2.05E+16,5.36362E+16,BE29064,20.47,248.8,2.83936E-13,7.2998E-15,230635.2462,5929.467542,4.55,BE27097,0.456,301.4,3.31333E-12,5.62863E-14,115000000,2000000,1.98,
POT05,2.18E+16,3.73859E+16,BE29066,20.33,248.1,3.1096E-13,7.55167E-15,253605.49,6158.818603,4.53,BE27098,0.581,300.4,4.07305E-12,5.87559E-14,142000000,2100000,2,
POT06,3.09E+16,6.70706E+16,BE29067,20.33,251,3.41041E-13,8.23214E-15,281326.0069,6790.716642,6.03,BE27778,0.575,325.1,5.30772E-12,5.77712E-14,253000000,2800000,1.89,
POT06x,,,,,,,,281326.0069,6790.716642,,BE27099,0.512,300.4,6.41301E-12,5.88448E-14,251000000,2300000,1.89,
POT09,2.24E+16,4.75065E+16,BE29068,20.12,249.2,5.23684E-13,1.48773E-14,433545.2337,12316.5409,4.37,BE27100,0.517,299.4,4.16984E-12,6.01301E-14,161000000,2300000,1.93,
POT10,3.15E+16,3.43247E+16,BE29069,20.21,250.6,8.15322E-13,1.60297E-14,675782.8031,13286.29528,6.19,BE27101,0.574,300.4,1.04237E-11,1.46874E-13,365000000,5100000,1.9,
POT11,1.301E+17,,BE29070,20.68,248.3,4.83066E-13,1.13553E-14,387586.8342,9110.926928,7.22,BE27779,0.459,326.1,8.55004E-12,8.61245E-14,406000000,4100000,2.05,
POT12,6.93E+16,8.06475E+16,BE29071,20.49,248.1,6.18047E-13,1.18832E-14,500087.4589,9615.173893,5.16,BE27780,0.486,325.1,1.18198E-11,1.48914E-13,528000000,6700000,1.95,
POT13,7.24E+16,1.08102E+17,BE29072,20.42,248.7,3.66026E-13,7.16991E-15,298016.5923,5837.696891,4.8,BE27781,0.495,325.1,6.55354E-12,6.61096E-14,288000000,2900000,2.01,
POT14,3.39E+16,3.29711E+16,BE29073,20.55,249.2,3.64711E-13,8.62779E-15,295592.0909,6992.688269,6.18,BE27782,0.475,327.1,1.81887E-11,2.24514E-13,837000000,10300000,2.11,
POT15,2.74E+16,3.54536E+16,BE29074,22.24,247.9,4.82777E-13,1.13516E-14,359676.1384,8457.13951,4.65,BE27762,0.577,300.4,7.54762E-12,6.84468E-14,263000000,2400000,1.89,
POT16,2.62E+16,4.16145E+16,BE29086,12.49,248.7,2.45083E-13,5.96149E-15,326092.5022,7932.000026,5.59,BE27763,0.463,299.4,8.77857E-12,1.19546E-13,379000000,5200000,2.08,
POT17,3.64E+16,7.40142E+16,BE29075,22.49,249.5,3.34928E-13,7.9833E-15,248342.1855,5919.442724,4.58,BE27764,0.474,299.4,9.18491E-12,1.08768E-13,388000000,4600000,1.92,
POT18,3.46E+16,1.62636E+17,BE29077,19.21,249,3.14514E-13,7.49595E-15,272410.9966,6492.494453,4.67,BE27765,0.471,300.4,1.21988E-11,1.00081E-13,520000000,4300000,1.93,
POT19,2.13E+16,6.97097E+16,BE29078,22.46,249.5,4.07552E-13,7.94747E-15,302560.6465,5900.089704,4.59,BE27766,0.481,300.4,4.64835E-12,4.22659E-14,194000000,1800000,1.98,
POT20,7.82E+15,0,BE29079,23.05,249.8,1.37262E-13,3.5187E-15,99403.7639,2548.203598,4.15,BE27767,0.462,295.5,8.21237E-13,1.1032E-14,35000000,500000,2.03,
POT21,5.54E+15,0,BE29080,22.37,248.6,5.18928E-13,1.22989E-14,385397.279,9134.121109,4.28,BE27768,0.443,304.3,7.58929E-13,1.05623E-14,35000000,500000,1.97,
POT22,8.26E+15,0,BE29081,22.52,247.7,9.8638E-13,1.93733E-14,725198.5203,14243.45113,4.25,BE27769,0.479,298.4,2.12405E-12,2.33658E-14,88000000,1000000,1.97,
POT23,6.22E+15,4.59419E+15,BE29088,22.74,250.5,6.6776E-13,1.31178E-14,491677.0787,9658.76282,4.26,BE27770,0.479,301.4,1.21436E-12,1.7946E-14,51000000,800000,1.97,
POT24,3.88E+15,5.73466E+15,BE29089,20.63,248.6,8.51164E-13,1.4513E-14,685421.8333,11686.97674,4.2,BE27771,0.459,301.4,1.68448E-12,1.92644E-14,74000000,800000,1.96,
POT25,5.75E+15,8.27951E+15,BE29090,20.78,248.6,7.50252E-13,1.28217E-14,599877.2404,10251.79447,4.16,BE27105,0.526,301.4,1.63892E-12,2.81727E-14,63000000,1100000,1.94,
POT26,4.89E+15,3.89399E+15,BE29091,21.03,249.7,6.03777E-13,1.42387E-14,479096.5453,11298.42069,4.06,BE27772,0.491,300.4,1.24019E-12,1.94372E-14,51000000,800000,1.88,
POT27,1.16E+16,5.25551E+15,BE29082,22.48,247.9,1.11022E-12,1.94439E-14,818276.9082,14330.92005,4.11,BE27773,0.497,298.4,2.52372E-12,2.68786E-14,101000000,1100000,1.92,
POT28,8.95E+15,1.38944E+16,BE29083,22.4,247.4,4.04138E-13,6.80473E-15,298363.9302,5023.750314,4.33,BE27774,0.51,300.4,2.83532E-12,3.86293E-14,112000000,1500000,1.94,
POT29,9.25E+16,1.09732E+17,BE29092,22.22,241.1,6.87367E-13,1.61402E-14,498378.5216,11702.56297,4.34,BE27775,0.474,299.4,1.78154E-11,2.7154E-13,752000000,11500000,1.94,
POT30,5.29E+16,1.70779E+16,BE29093,20.55,249,3.81681E-13,9.12253E-15,309103.7264,7387.870076,4.47,BE27776,0.542,300.4,2.5478E-11,1.48467E-13,944000000,5500000,1.96,
