Sample IDa,10Bei erosion rate  (m Myr-1)b,10Bei erosion rate  (m Myr-1)b ± 1σ,Unnested 10Bei erosion rate  (m Myr-1)b,Unnested 10Bei erosion rate ± 1σ (m Myr-1)b,Unnested 10Bei erosion rate (Mg km-2 yr-1),Unnested 10Bei erosion rate ± 1σ (Mg km-2 yr-1),10Bem erosion rate (Mg km-2 yr-1)c,10Bem erosion rate ± 1σ (Mg km-2 yr-1)c,10Bem/9Bereac denudation rate (Mg km-2 yr-1)d,10Bem/9Bereac denudation rate ± 1σ (Mg km-2 yr-1)d,Measured sediment load (g yr-1)e,Erosion indexf,,,,,,,
01638500,,,,,,,,,,,6.75896E+11,0.58,,,,,,,
01643000,,,,,,,,,,,1.35424E+11,2.74,,,,,,,
01610200,,,,,,,,,,,31679000000,1.96,,,,,,,
POT01,15.8,1.2,11.5,0.7,31,2,97.9,2.1,45,0.8,2.31968E+12,0.79,,,,,,,
POT02,20.8,1.5,20.8,1.5,56.2,4.1,249.4,3.7,51.7,0.9,13437627840,0.97,,,,,,,
POT04,16.4,1.2,18.6,1.4,50.1,3.7,172.2,3,76.4,1.3,544320000,0.07,,,,,,,
POT05,14.7,1.1,14.7,1.1,39.6,2.9,140.8,2.1,49.9,0.8,1774238256,0.52,,,,,,,
POT06,16.7,1.3,20.4,1.5,55,4.1,74.7,0.8,43.2,0.7,1.03605E+12,0.55,,,,,,,
POT09,7.7,0.6,7.6,0.6,20.4,1.7,119.9,1.7,50.2,0.9,25242840000,0.46,,,,,,,
POT10,6.4,0.5,6.2,0.5,16.7,1.4,52.1,0.7,20.5,0.3,2.04078E+11,0.93,,,,,,,
POT11,13.7,1.1,13.8,1.1,37.1,2.9,50.5,0.5,,,1.42415E+11,1.24,,,,,,,
POT12,7.6,0.6,7.5,0.6,20.3,1.6,13.7,0.2,33.1,0.6,53588304000,1.1,,,,,,,
POT13,12.8,1,12.9,1,34.9,2.6,25.8,0.3,75.4,1.3,18048744000,0.58,,,,,,,
POT14,16.1,1.2,16.1,1.2,43.5,3.3,9.3,0.1,10.1,0.2,,,,,,,,,
POT15,10.1,0.8,10.1,0.8,27.3,2.1,26.6,0.2,27,0.5,,,,,,,,,
POT16,13.3,1,13.3,1,35.8,2.7,20.3,0.3,22.3,0.4,,,,,,,,,
POT17,15.1,1.1,15.1,1.1,40.9,3,18.3,0.2,32.7,0.6,,,,,,,,,
POT18,13.9,1,13.9,1,37.5,2.8,13.7,0.1,43.8,0.7,,,,,,,,,
POT19,12.2,0.9,12.2,0.9,32.8,2.4,37.8,0.4,55.6,0.9,,,,,,,,,
POT20,38.5,2.7,38.5,2.7,104,7.2,,,,,,,,,,,,,
POT21,8.7,0.7,8.7,0.7,23.5,1.8,208.5,3,18.7,0.3,,,,,,,,,
POT22,4.1,0.4,4.1,0.4,11.1,0.9,82.9,0.9,11.1,0.2,,,,,,,,,
POT23,6.5,0.5,6.5,0.5,17.6,1.4,143.1,2.2,25,0.4,,,,,,,,,
POT24,4.3,0.4,4.3,0.4,11.7,1,98.1,1.1,15.2,0.3,,,,,,,,,
POT25,5,0.4,5,0.4,13.6,1.1,114.1,2,25.9,0.4,,,,,,,,,
POT26,6.4,0.5,6.4,0.5,17.3,1.4,136.5,2.1,19.4,0.3,,,,,,,,,
POT27,3.4,0.3,3.4,0.3,9.3,0.8,70.4,0.8,19.2,0.3,,,,,,,,,
POT28,11.8,0.9,11.8,0.9,31.8,2.3,64.2,0.9,23.7,0.4,,,,,,,,,
POT29,6.5,0.5,6.5,0.5,17.6,1.4,9.6,0.1,31.2,0.5,,,,,,,,,
POT30,11.6,0.9,11.6,0.9,31.3,2.4,7.7,0.1,8.7,0.1,,,,,,,,,
POT31,4.7,0.4,4.7,0.4,12.8,1.1,4.5,0.1,,,,,,,,,,,
POT32,2.9,0.3,2.9,0.3,7.9,0.7,95.9,1.1,59.1,1,,,,,,,,,
POT33,4.5,0.4,0.4,0.1,1.2,0.2,17.8,0.1,34.1,0.6,,,,,,,,,
POT34,11.7,0.9,11.7,0.9,31.7,2.4,44.8,0.3,56.3,1,,,,,,,,,
POT35,10.3,0.8,10.3,0.8,27.9,2.1,10.8,0.1,27.4,0.5,,,,,,,,,
POT36,7.9,0.6,7.9,0.6,21.2,1.6,39.2,0.4,47.5,0.8,,,,,,,,,
POT37,14.2,1.1,14.2,1.1,38.4,2.9,38,0.4,47.9,0.8,,,,,,,,,
POT38,14,1.1,14,1.1,37.7,2.8,7.5,0.1,18.2,0.3,,,,,,,,,
POT39,7.4,0.6,7.4,0.6,19.9,1.6,18.1,0.1,67.3,1.1,,,,,,,,,
POT40,4.8,0.4,4.8,0.4,13.1,1.1,19.7,0.2,25.9,0.4,,,,,,,,,
POT41,13.2,1,13.2,1,35.6,2.8,18.3,0.1,49.7,0.8,,,,,,,,,
POT42,3.2,0.3,3.2,0.3,8.6,0.8,4,0,,,,,,,,,,,
POT43,8.5,0.7,8.5,0.7,23,1.9,29,0.4,26.2,0.4,,,,,,,,,
POT44,11.8,0.9,11.8,0.9,31.8,2.4,22.7,0.2,27.2,0.5,,,,,,,,,
POT45,28.5,2.2,28.5,2.2,77,5.8,35.8,0.2,66.6,1.1,,,,,,,,,
POT46,19.3,1.5,19.3,1.5,52,4.1,30,0.3,,,,,,,,,,,
POT48,4.4,0.4,4.4,0.4,11.7,1,10.5,0.1,50,0.9,,,,,,,,,
POT49,10,0.8,10,0.8,27,2.1,16.5,0.2,33.3,0.6,,,,,,,,,
POT50,14.9,1.2,14.9,1.2,40.1,3.2,31.8,0.5,91.2,1.5,,,,,,,,,
POT51,16.3,1.2,16.3,1.2,43.9,3.3,68.5,0.6,103.8,1.8,,,,,,,,,
POT52,10.1,0.8,10.1,0.8,27.4,2.2,13.8,0.2,27.4,0.5,,,,,,,,,
POT53,9.3,0.7,9.3,0.7,25.1,2,10.9,0.1,,,,,,,,,,,
POT55,11.4,0.9,11.4,0.9,30.8,2.5,20,0.2,27.6,0.5,,,,,,,,,
POT58,18.2,1.4,18.2,1.4,49.2,3.8,22.6,0.2,80.7,1.4,,,,,,,,,
POT61,7.5,0.6,7.5,0.6,20.4,1.6,20,0.3,19.5,0.3,,,,,,,,,
POT62,14.1,1.1,14.1,1.1,38.1,2.9,17.1,0.2,77.6,1.3,,,,,,,,,
POT63,6,0.5,6,0.5,16.2,1.3,31.9,0.5,37.4,0.6,,,,,,,,,
