Sample iD,USGS station ID,Latitude ('N),Longitude ('W),Mean Latitude (N),Mean Longitude (W),Mean Elevation (m asl), Average Basin slope (degrees),Basin Area (km2),Basin Relief (m),MAP (cm),10Bei  (atoms g 10-5),10Bem  (atoms g 10-5)
POT01,1646580,38.93,-77.12,39.1646,78.3821,387,8.8,30000,1482,100,2.83,1.93
POT02,1650500,39.06,-77.03,39.1077,77.0333,130,3.5,55,90,107,1.84,0.81
POT04,1647740,39.11,-77.13,39.148,77.1409,143,3,44,96,105,2.31,1.15
POT05,1647720,39.12,-77.1,39.1463,77.0953,140,2.8,24,74,106,2.54,1.42
POT06,1638500,39.27,-77.55,39.1331,78.5789,432,10,25021,1425,100,2.81,2.53
POT09,1656120,38.64,-77.51,38.6458,77.674,113,2.8,459,359,103,4.34,1.61
POT10,1631000,38.91,-78.21,38.3639,78.8516,494,9.4,4227,1211,102,6.76,3.65
POT11,1603000,39.62,-78.77,39.532,79.0409,658,10.5,2274,1080,108,3.88,4.06
POT12,1614500,39.72,-77.82,39.9156,77.7381,266,5.6,1321,628,102,5,5.28
POT13,1639000,39.72,-77.82,39.8122,77.2481,192,3.1,449,507,105,2.98,2.88
POT14,,39.59,-77.46,39.5889,77.4863,477,8.7,15,298,111,2.96,8.37
POT15,,39.31,-77.65,39.2838,77.672,167,4.9,33,357,100,3.6,2.63
POT16,,39.71,-77.41,39.7046,77.4442,361,8.2,27,296,109,3.26,3.79
POT17,,39.48,-77.33,39.4753,77.2971,152,5.4,10,109,101,2.48,3.88
POT18,,39.21,-77.31,39.2305,77.3077,173,5,14,86,102,2.72,5.2
POT19,,39.15,-77.13,39.1742,77.1376,155,2.6,15,66,105,3.03,1.94
POT20,,39.02,-76.86,39.0238,76.8481,53,2,25,56,108,0.99,0.35
POT21,,38.83,-76.92,38.8347,76.9004,79,2.7,18,42,105,3.85,0.35
POT22,,38.76,-76.84,38.784,76.8573,73,1.8,27,40,105,7.25,0.88
POT23,,38.76,-76.94,38.7815,76.9091,76,2.2,30,47,105,4.92,0.51
POT24,,38.66,-76.88,38.682,76.8701,69,0.9,11,21,105,6.85,0.74
POT25,,38.54,-77.02,38.5761,76.9937,57,2.8,42,55,104,6,0.63
POT26,,38.42,-77.21,38.4612,77.2141,33,1.8,36,43,101,4.79,0.51
POT27,,38.48,-77.08,38.5142,77.0821,47,3.4,22,52,103,8.18,1.01
POT28,,38.44,-77.54,38.4614,77.5592,99,2.9,16,61,104,2.98,1.12
POT29,,38.57,-77.67,38.5507,77.6748,109,2.2,10,63,104,4.98,7.52
POT30,,38.63,-77.76,38.6472,77.7873,140,1.9,22,81,105,3.09,9.44
POT31,,38.67,-77.54,38.6784,77.5692,74,1.4,27,54,100,6.38,15.27
POT32,,38.62,-77.37,38.6389,77.4061,108,3.7,21,66,101,9.8,0.73
POT33,,38.78,-77.39,38.8084,77.3677,110,4.1,44,94,101,6.88,3.93
POT34,,38.8,-77.35,38.8216,77.3337,121,4,16,74,102,3.03,1.58
POT35,,38.96,-77.54,38.9644,77.574,110,2.5,23,69,101,3.36,6.49
POT36,,38.95,-77.72,38.91,77.7497,184,5.4,64,291,104,4.53,1.85
POT37,,39.06,-77.75,39.0953,77.8036,210,5.3,49,431,102,2.74,1.87
POT38,,39.08,-78.13,39.0804,78.1632,216,2.9,13,55,96,2.8,8.95
POT39,,38.97,-78.08,38.9555,78.0571,377,11.6,13,533,103,5.54,3.98
POT40,,38.74,-78.53,38.744,78.5545,605,13.8,9,441,103,9.41,3.63
POT41,,38.35,-78.61,38.3203,78.6222,602,17.5,14,545,110,3.7,4.14
POT42,,38.25,-78.89,38.2594,78.9283,369,3.9,16,148,98,11.11,17
POT43,,38.1,-78.86,38.0935,78.8106,575,13.8,26,521,111,5.5,2.62
POT44,,37.94,-78.97,37.9132,79.0043,693,16.3,30,674,117,4.4,3.51
POT45,,38.56,-79.15,38.5328,79.1694,990,21.9,29,635,113,2.39,2.18
POT46,,38.49,-79.67,38.4727,79.6798,1198,12.7,16,295,133,3.96,3.06
POT47,,38.81,-78.95,38.821,78.9278,595,13.1,16,369,95,,5.19
POT48,,39.07,-78.96,39.0436,78.9278,391,11.4,13,712,92,3.73,6.08
POT49,,39.14,-78.77,39.1385,78.8125,651,11.7,27,481,101,5.06,4.3
POT50,,38.89,-79.4,38.9115,79.414,1150,19,20,754,132,4.95,2.89
POT51,,39.24,-79.45,39.232,79.4714,868,9.2,14,251,131,3.79,1.34
POT52,,39.35,-79.29,39.3621,79.309,844,6.1,20,272,123,5.74,6.24
POT53,,39.4,-79.13,39.3709,79.1249,720,11.1,22,497,110,5.72,7.08
POT54,,39.46,-78.8,39.4412,78.7895,324,15.6,5,312,92,,3.42
POT55,,39.46,-79.23,39.4464,79.2536,804,8.5,17,282,118,5.03,4.15
POT56,,39.51,-79.15,39.528,79.1998,716,13.3,30,385,113,,2.56
POT57,,39.6,-79.08,39.6246,79.09,740,12.7,6,291,110,,3.5
POT58,,39.57,-78.98,39.5436,78.9634,704,10.2,10,410,105,3.06,3.28
POT59,,39.82,-78.94,39.7944,78.9178,734,9,17,190,107,,4.28
POT60,,39.91,-78.84,39.9119,78.8502,707,10.9,6,314,108,,3.04
POT61,,39.89,-78.6,39.8905,78.6265,602,13.9,9,410,101,6.35,3.57
POT62,,39.69,-78.59,39.6955,78.6093,367,13.1,29,332,95,3.07,3.91
POT63,,39.47,-78.44,39.4651,78.4584,424,10.7,18,419,96,6.86,2.11
POT64,,39.8,-78.25,39.7878,78.2925,341,8.7,21,356,96,3.5,2.97
POT65,,39.86,-78.3,39.8874,78.2867,430,9,12,258,98,3.62,2.29
POT66,,40.02,-78.04,40.0377,78.0259,309,7.5,10,94,99,,7.14
POT67,,40.18,-77.66,40.2034,77.6386,438,12.1,25,408,105,4.8,1.05
POT68,,39.87,-77.22,39.89,77.2197,171,2.4,12,69,104,2.94,7.79
POT69,,39.88,-77.29,39.9043,77.3101,237,4.9,11,312,105,4.11,2.36
POT70,,39.92,-77.75,39.9271,77.7767,196,3.3,13,113,101,,5.35
POT71,,39.95,-77.44,39.972,77.4291,558,8.7,12,214,114,3.48,0.49
POT72,,39.57,-77.06,39.5648,77.025,205,4.8,23,127,107,2.46,3.68
POT73,,39.66,-76.95,39.6687,76.9185,247,5.7,15,146,108,2.58,3.53
