unit_link,lith_rank,lith1,lith2,lith3,lith4,lith5,low_lith,lith_form,lith_com
MDMp;1,Incidental,Sedimentary,Coal,,,,Coal,, 
MDSm;1,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
MDCAwb;1,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
MDjg;4,Major,Metamorphic,Amphibolite,,,,Amphibolite,,quartz amphibolite 
MDPd;1,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
MDSwb;1,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
MDQu;5,Major,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,, 
MDPAap;1,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone ,,
MDOs;1,Major,Sedimentary,Carbonate,Limestone,,,Limestone ,,
MDPAap;1,Major,Sedimentary,Clastic,Sandstone,,,Sandstone ,,
MDTc;5,Major,Unconsolidated,Fine-detrital,Clay,,,Clay,, 
MDPd;1,Incidental,Sedimentary,Coal,,,,Coal,, 
MDif;3,Incidental,Metamorphic,Metaigneous,Greenstone,,,Greenstone,, 
MDMp;1,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,,"interbedded gray and reddish-brown shale, mudstone, and siltstone "
MDbgb;7,Major,Igneous,Plutonic,Gabbroic,Gabbro,,Gabbro,, 
MDbgb;7,Minor,Igneous,Plutonic,Gabbroic,Gabbro,Norite,Norite,, 
MDbgb;7,Minor,Igneous,Plutonic,Ultramafic,Pyroxenite,,Pyroxenite,, 
MDCAa;2,Major,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,, 
MDCAa;2,Minor,Metamorphic,Metasedimentary,Metaclastic,Phyllite,,Phyllite,, 
MDCAe;1,Major,Sedimentary,Carbonate,Limestone,,,Limestone,, 
MDCAe;1,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
MDCAe;1,Minor,Sedimentary,Carbonate,Dolostone,,,Dolostone,, 
MDCAf;2,Major,Sedimentary,Carbonate,Limestone,,,Limestone,, 
MDCAf;2,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
MDCAt;2,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone,, 
MDCAt;2,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,, 
MDCAt;2,Incidental,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
MDCAwb;1,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
MDCAwb;1,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
MDCAwb;1,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone,, 
MDCAwb;1,Major,Sedimentary,Carbonate,Limestone,,,Limestone,, 
MDcc;4,Major,Metamorphic,Metasedimentary,Metaclastic,Metaconglomerate,,Metaconglomerate,,meta-conglomerate 
MDcc;4,Major,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,, 
MDcm;4,Major,Metamorphic,Metasedimentary,Metacarbonate,Marble,,Marble,, 
MDcm;4,Minor,Metamorphic,Schist,Calc-silicate-schist,,,Calc-silicate-schist,,calc-schist 
MDcm;4,Incidental,Metamorphic,Gneiss,Calc-silicate-gneiss,,,Calc-silicate-gneiss,,calc-gneiss 
MDDch;1,Minor,Sedimentary,Clastic,Sandstone,Graywacke,,Graywacke,, 
MDDch;1,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
MDDch;1,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
MDDch;1,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,,locally conglomeratic 
MDDch;1,Incidental,Sedimentary,Carbonate,Limestone,,,Limestone,, 
MDDh;1,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,,red and some green shale 
MDDh;1,Minor,Sedimentary,Clastic,Mudstone,,,Mudstone,,red mudstone 
MDDh;1,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,,"red to brown, cross-bedded "
MDDh;1,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,,"red to brown, cross-bedded "
MDmgb;7,Major,Metamorphic,Metaigneous,Metaintrusive,Metagabbro,,Metagabbro,, 
MDmgb;7,Major,Metamorphic,Amphibolite,,,,Amphibolite,,epidote amphibolite 
MDMmc;1,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,,Red and green shale 
MDMmc;1,Major,Sedimentary,Clastic,Mudstone,,,Mudstone,,"reddish-purple mudstone, "
MDDhn;1,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,,"Hamilton Group including Mahantango Formation - Dark gray, laminated shale, siltstone, and very fine-grained sandstone; thickness 600 feet in west, increases to 1,200 feet in east, and Marcellus Shale - Gray-black, thinly laminated, pyritic, carbonaceous shale; thickness 250 feet in east, increases to 500 feet in west. Needmore Shale - Olive-gray to black shale and dark, thin-bedded, fossiliferous, argillaceous limestone; thickness ranges from 70 to 145 feet. "
MDMp;1,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,,"interbedded gray and reddish-brown shale, mudstone, and siltstone "
