state,orig_label,map_sym1,map_sym2,unit_link,prov_no,province,unit_name,unit_age,unitdesc,strat_unit,unit_com,map_ref,rocktype1,rocktype2,rocktype3,unit_ref,map_symb2
MD  ,pCsr,pCAsr,pCAsr;2,MDpCAsr;2,2,South Mountain Anticlinorium and Frederick Valley,Swift Run Formation,Late Precambrian,Swift Run Formation - Sericitic quartzite and phyllite; blue and green tuffaceous slate with sericitic blebs; some white marble with interbedded phyllite.,,,MD001,quartzite,phyllite,slate; marble,MD001 MD002,
MD  ,Ta,Ta,Ta;5,MDTa;5,5,Coastal Plain,Pamunkey Group; Aquia Formation,Paleocene,"Pamunkey Group; Aquia Formation - Dark green to gray-green, argillaceous, highly glauconitic, well-sorted fine- to medium-grained sand; locally indurated shell beds; thickness 0 to 100 feet.",Pamunkey Group,,MD001,sand,,,MD001 MD002,
MD  ,wm,wm,wm;3,MDwm;3,3,Western Piedmont Metasedimentary Rocks,Wakefield Marble,Late Precambrian (?),"Wakefield Marble - White, fine-grained marble; subordinate white, green, and pink variegated marble; and blue marble.",,,MD001,marble,,,MD001 MD002,
MD  ,Pd,Pd,Pd;1,MDPd;1,1,Allegheny Plateau and Valley and Ridge,Dunkard Group,Permian,"Dunkard Group - Red and green shale, siltstone, and sandstone, with thin lenticular beds of argillaceous limestone and thin beds of impure coal; thick-bedded, white conglomeratic sandstone at base; thickness greater than 200 feet; occurs only on hilltop",,,MD001,shale,siltstone,sandstone; limestone; coal,MD001 MD002,
MD  ,if,if,if;3,MDif;3,3,Western Piedmont Metasedimentary Rocks,Ijamsville Formation,Late Precambrian (?),"Ijamsville Formation - Blue, green, or purple phyllite and phyllitic slate, with interbedded metasiltstone and metagraywacke; flattened pumiceous blebs occur locally.",,"secondary unit description from USGS Geologic Names Lexicon (ref MD005): Based on stratigraphic interpretation, the age of the Ijamsville Phyllite is changed to Late Proterozoic(?) and Early Cambrian(?). Consists of dusky blue, grayish blue, very dusky red purple, greenish gray to pale olive phyllite and phyllonite with abundant quartz veins and minor slate. Also contains aphanitic to porphyritic greenstone and yellowish gray, fine- to medium-grained sericitic quartzite. ",MD001,phyllite,slate,meta-argillite; metasedimentary rock; greenstone; quartzite,MD001 MD002 MD005,
MD  ,OCc,OCAc,OCAc;1,MDOCAc;1,1,Allegheny Plateau and Valley and Ridge,Conococheague Limestone,Upper Cambrian to Lower Ordovician ,"Conococheague Limestone - Dark blue, laminated, oolitic, argillaceaous, and siliceous limestone, algal limestone, and flat-pebble conglomerate; siliceous shale partings; some sandstone and dolomite; thickness 1,600 to 1,900 feet.",,,MD001,limestone,conglomerate,shale; sandstone; dolostone (dolomite),MD001 MD002,
MD  ,cm,cm,cm;4,MDcm;4,4,Eastern Piedmont Metasedimentary Rocks,Cockeysville Marble,Late Precambrian (?),"Cockeysville Marble - Metadolomite, calc-schist, and calcite marble are predominant; calc-gneiss and calc-silicate marble widespread but minor; thickness about 750 feet.",Glenarm Series,"secondary unit description from USGS Geologic Names lexicon (ref MD005): Author has erected a six-fold stratigraphy for the Cockeysville consisting of five unnamed members and one lens to accommodate the variety of rock types. These are the layered marble member (0 to 200 m), the massive metadolostone member (0 to 400 m), the layered metadolostone member (0 to 1.4 km), the massive metalimestone member (0 to 450 m), which includes the calc-gneiss lens (0 to 225 m), and the phlogopitic metalimestone member (0 to 300 m). Each member is described in detail. Thickness of the Cockeysville overall varies from 0 to 1.4 km, the range of the layered metadolostone. The relative ages of these units are uncertain. Unit as a whole is mapped as Cambrian to Ordovician(?). ",MD001,marble,calc-silicate schist,gneiss,MD001 MD002 MD005,
MD  ,bgb,bgb,bgb;7,MDbgb;7,7,Eastern Piedmont Plutonic Rocks - Gabbroic Series,Baltimore Gabbro Complex,Late Precambrian (?) - Early Paleozoic ,"Baltimore Gabbro Complex - Hypersthene gabbro with subordinate amounts of olivine gabbro, norite, anorthositic gabbro, and pyroxenite; igneous minerals and textures well preserved in some rocks, other rocks exhibit varying degrees of alteration and recrystallization with a new metamorphic mineral assemblage.",,,MD001,gabbro,norite,pyroxenite,MD001 MD002,
MD  ,Ca,CAa,CAa;2,MDCAa;2,2,South Mountain Anticlinorium and Frederick Valley,Chilhowee Group; Antietam Formation,Cambrian,"Antietam Formation - White to dark gray and brown, thick-bedded, fine- to coarse-grained quartzite with thin argillaceous partings; first occurrence of Lower Cambrian fossils; cleavage generally obscures bedding; increasingly metamorphosed and phyllitic toward east; estimated thickness 300 to 800 feet.",Chilhowee Group,,MD001,quartzite,phyllite,,MD001 MD002,
MD  ,Ce,CAe,CAe;1,MDCAe;1,1,Allegheny Plateau and Valley and Ridge,Elbrook Limestone,Cambrian,"Elbrook Limestone - Light blue, laminated, argillaceous limestone and calcareous shale; some dolomite; thickness 1,400 to possibly 3,000 feet.",,,MD001,limestone,shale,dolostone (dolomite),MD001 MD002,
MD  ,Cf,CAf,CAf;2,MDCAf;2,2,South Mountain Anticlinorium and Frederick Valley,Frederick Limestone,Cambrian,"Frederick Limestone - Blue, slabby, thin-bedded limestone and minor shale; contains Upper Cambrian (Trempealeauian) faunule; thickness approximately 480 feet.",,,MD001,limestone,shale,,MD001 MD002,
MD  ,Ct,CAt,CAt;2,MDCAt;2,2,South Mountain Anticlinorium and Frederick Valley,Tomstown Dolomite,Cambrian,"Tomstown Dolomite - Interbedded light gray to yellowish-gray, thin- to thick-bedded dolomite and limestone; some shale layers; gradational contact with Antietam; thickness 200 to 1,000 feet.",,,MD001,dolostone (dolomite),limestone,shale,MD001 MD002,
MD  ,Cwb,CAwb,CAwb;1,MDCAwb;1,1,Allegheny Plateau and Valley and Ridge,Waynesboro Formation,Cambrian,"Waynesboro Formation - Upper part red, gray, and yellowish-brown, thin-bedded siltstone, shale, and ripple-marked, cross-bedded sandstone; lower part interbedded dark gray to red shale and thin-bedded dolomite; thickness approximately 600 feet.",,"secondary unit description from USGS Geologic Names lexicon (ref MD005): Revised the Waynesboro Formation in MD, PA and WV to include the (ascending) Red Run, Cavetown, and Chewsville Members. The Red Run Member consists of interbedded sandstone and sandy, dolomitic limestone (100 to 125 feet thick). The Cavetown Member consists of interbedded dolomite, dolomitic limestone, and a few siliciclastic beds (500 to 600 feet thick). The Chewsville Member consists of interbedded maroon shale, sandstone, dolomitic limestone, and dolomite (100 to 150 feet thick). The Waynesboro overlies the Tomstown Formation and underlies the Elbrook Formation. Age of the Waynesboro is considered Early Cambrian. Source: GNU records (USGS DDS-6; Reston GNULEX). ",MD001,dolostone (dolomite),limestone,siltstone; shale; sandstone,MD001 MD002 MD005,
MD  ,cc,cc,cc;4,MDcc;4,4,Eastern Piedmont Metasedimentary Rocks,Cardiff Metaconglomerate,Late Precambrian (?),"Cardiff Metaconglomerate - Silvery-gray, well foliated, micaceous quartz-pebble metaconglomerate and quartzite; apparent maximum thickness 700 feet.",,,MD001,meta-conglomerate,quartzite,,MD001 MD002,
MD  ,OCg,OCAg,OCAg;2,MDOCAg;2,2,South Mountain Anticlinorium and Frederick Valley,Grove Limestone,Upper Cambrian to Lower Ordovician ,"Grove Limestone - Dark gray to light dove, thick-bedded limestone; dolomite beds in lower part; highly quartzose limestone at base; Upper Cambrian to Lower Ordovician in age; thickness approximately 590 feet.",,,MD001,limestone,dolostone (dolomite),,MD001 MD002,
