unit_link,lith_rank,lith1,lith2,lith3,lith4,lith5,low_lith,lith_form,lith_com
PADck;16,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed, 
PACAwb;15,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed, 
PACAwb;15,Minor,Sedimentary,Clastic,Conglomerate,,,Conglomerate,Bed, 
PACAwb;24,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,Bed, 
PACAwb;24,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed, 
PACAwb;24,Incidental,Sedimentary,Carbonate,Limestone,,,Limestone,Bed, 
PACAwb;24,Incidental,Sedimentary,Carbonate,Dolostone,,,Dolostone,Bed, 
PACAwl;24,Major,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,,Weverton--gray to purplish-gray quartzite 
PACAwl;24,Minor,Sedimentary,Clastic,Conglomerate,,,Conglomerate,,Weverton--gray to purplish-gray quartzose conglomerate containing rounded pebbles. Loudoun--conglomerate. 
PACAwl;24,Minor,Metamorphic,Metasedimentary,Metaclastic,Slate,,Slate,,Loudoun--sericitic slate 
PACAwl;24,Minor,Sedimentary,Clastic,Sandstone,Arkose,,Arkose,,"Loudoun--purplishgray, crumbly, poorly sorted, arkosic sandstone "
PACAz;24,Major,Sedimentary,Carbonate,Limestone,,,Limestone,Bed,"interbanded and interlaminated limestone and dolomite, thin- to thick-bedded; stromatolitic limestone "
PAPZo;0,Minor,Metamorphic,Gneiss,,,,Gneiss,,hornblende gneiss 
PACAz;24,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone,Bed,"interbanded and interlaminated limestone and dolomite, thin- to thick-bedded "
PACAz;24,Incidental,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed,"several thin, local quartz sandstone beds "
PACAzc;22,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone,,"medium-gray, finely crystalline dolomite; silty to sandy, containing numerous siliceous to argillaceous laminae. "
PADbe;14,Major,Sedimentary,Carbonate,Limestone,,,Limestone,Bed,Buttermilk Falls Limestone--gray fossiliferous limestone and black chert 
PADbe;14,Incidental,Sedimentary,Chemical,Chert,,,Chert,Bed,Buttermilk Falls Limestone--gray fossiliferous limestone and black chert 
PADbe;14,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed,Palmerton Sandstone--massive white siliceous sandstone 
PADbe;14,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,Calcareous,"Schoharie Formation--gray calcareous, argillaceous siltstone; Esopus Formation--gray silty shale and sandy siltstone. "
PADbe;14,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,Bed,Esopus Formation--gray silty shale 
PADbh;12,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed,"Brallier--medium-gray, planar-bedded siltstone  "
PADbh;12,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,Bed,Brallier--interbedded with light-olive shale; with sparse marine fauna and dark-gray shale. 
PADbh;12,Minor,Sedimentary,Clastic,Mudstone,Shale,Black-shale,Black-shale,Bed,Harrell--black shale (Burket Member) 
PADbr;8,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed,"includes, in descending order: Berea Sandstone and Cussewago Sandstone; marine fossils common "
PADbr;8,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed, 
PADbr;8,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,Bed,"includes, in descending order: Bedford Shale and Riceville Shale; marine fossils common. "
