state,orig_label,map_sym1,map_sym2,unit_link,prov_no,province,unit_name,unit_age,unitdesc,strat_unit,unit_com,map_ref,rocktype1,rocktype2,rocktype3,unit_ref,map_symb2
PA  ,,water,water;0,PAwater;0,0,,water,Holocene,water,,,PA001,water,,,PA001,
PA  ,Ca,CAa,CAa;24,PACAa;24,24,"Great Valley and South Mountain, Cumberland Valley Sequence",Antietam Formation,Cambrian,"Antietam Formation - Gray, buff-weathering quartzite.",,,PA002,quartzite,,,PA001 PA002,
PA  ,Ms,Ms,Ms;8,PAMs;8,8,Western Pennsylvania,Shenango Formation,Mississippian,Shenango Formation - Light-gray sandstone and some beds of medium-gray shale and siltstone; upper third of formation is more shaly; contains a few marine fossils.,,,PA002,sandstone,shale,siltstone,PA001 PA002,
PA  ,Xmg,PZmg,PZmg;0,PAPZmg;0,0,,Metagabbro,Probably lower Paleozoic,"Metagabbro - Ranges from fine- to medium-grained, altered gabbro to hornblende gneiss.",,,PA002,mafic gneiss,gabbro,,PA001 PA002,
PA  ,Cg,CAg,CAg;15,PACAg;15,15,Central Pennsylvania,Gatesburg Formation,Cambrian,"Gatesburg Formation - Gray dolomite, limestone, and sandstone. Includes the Mines Member (CAgm) and four lower members (CAgl).",,,PA002,dolostone (dolomite),limestone,sandstone; chert,PA001 PA002,
PA  ,Cl,CAl,CAl;22,PACAl;22,22,"Great Valley and Northern Piedmont, Lebanon Valley Sequence",Ledger Formation,Cambrian,"Ledger Formation - Light-gray, locally mottled, massive, pure, coarsely crystalline dolomite; siliceous in middle part.",,,PA002,dolostone (dolomite),,,PA001 PA002,
PA  ,Cm,CAm,CAm;22,PACAm;22,22,"Great Valley and Northern Piedmont, Lebanon Valley Sequence",Millbach Formation,Cambrian,"Millbach Formation - Pink to white and gray, finely laminated limestone and interbedded finely crystalline dolomite; numerous stromatolitic limestone beds.",,,PA002,limestone,dolostone (dolomite),,PA001 PA002,
PA  ,Dct,Dct,Dct;18,PADct;18,18,"Central and Eastern Pennsylvania, Eastern Pennsylvania",Towamensing Member of Catskill Formation,Devonian,Towamensing Member of Catskill Formation - Dominantly gray sandstone and some siltstone and shale; freshwater fossils.,,,PA002,sandstone,siltstone,shale,PA001 PA002,
PA  ,Oba,Oba,Oba;15,PAOba;15,15,Central Pennsylvania,"Bellefonte and Axemann Formations, undivided",Ordovician,"Bellefonte and Axemann Formations, undivided - Includes, in descending order, the Bellefonte (Obf) and Axemann (Oa) Formations.",,,PA002,dolostone (dolomite),limestone,sandstone,PA001 PA002,
PA  ,Obf,Obf,Obf;15,PAObf;15,15,Central Pennsylvania,Bellefonte Formation,Ordovician,"Bellefonte Formation - Medium-gray, brownish-weathering, medium-bedded dolomite and minor sandstone; very fine grained Tea Creek Member above, and crystalline Coffee Run Member below.",,,PA002,dolostone (dolomite),sandstone,,PA001 PA002,
