unit_link,lith_rank,lith1,lith2,lith3,lith4,lith5,low_lith,lith_form,lith_com
WVCAa;0,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
WVCApCAc;0,Minor,Metamorphic,Schist,,,,Schist,, 
WVPAa;0,Minor,Sedimentary,Coal,,,,Coal,, 
WVDhs;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,,fine micaceous sandstones 
WVMg;0,Major,Sedimentary,Carbonate,Limestone,,,Limestone,,marine limestone 
WVObrr;0,Minor,Sedimentary,Chemical,Chert,,,Chert,Bed,containing gray chert and zones of Cryptozoa and Lecanospira 
WVObrr;0,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone,Bed, 
WVPAk;0,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
WVCAwy;0,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,, 
WVDb;0,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,Lense, 
WVCApCAc;0,Incidental,Metamorphic,Amphibolite,,,,Amphibolite,, 
WVMg;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,,marine and non-marine red and gray shale 
WVPAm;0,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,, 
WVPAa;0,"Indeterminate, major",Sedimentary,Clastic,Siltstone,,,Siltstone,, 
WVPAk;0,Incidental,Sedimentary,Coal,,,,Coal,, 
WVCApCAc;0,Incidental,Metamorphic,Gneiss,,,,Gneiss,, 
WVPAc;0,Minor,Sedimentary,Coal,,,,Coal,, 
WVCAwy;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
WVCAwy;0,Minor,Sedimentary,Carbonate,Dolostone,,,Dolostone,, 
WVDhs;0,Minor,Sedimentary,Clastic,Conglomerate,,,Conglomerate,, 
WVCAh;0,Major,Metamorphic,Metasedimentary,Metaclastic,Phyllite,,Phyllite,,greenish-gray phyllite 
WVDb;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,,"predominantly olive-gray to dark, thickly laminated marine shale "
WVMmcc;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,,red shale and mudrock 
WVDhs;0,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
WVDb;0,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
WVDmt;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,,thickly laminated marine shale 
WVCAa;0,Major,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,,"gray to white quartzite; thick-bedded, and resistant; contains Scolithus "
WVCAa;0,Incidental,Metamorphic,Schist,,,,Schist,,quartz-schist 
WVCAc;0,Major,Sedimentary,Carbonate,Limestone,,,Limestone,Bed,"predominantly algal and mechanically deposited limestone, with interbeds of aphanitic limestone and dolomite "
WVCAc;0,Minor,Sedimentary,Carbonate,Dolostone,,,Dolostone,Bed,"predominantly algal and mechanically deposited limestone, with interbeds of aphanitic limestone and dolomite; contains siliceous and dolomitic laminations. "
WVCAc;0,Minor,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,Bed,Big Sandy Station member near base (dolomite-orthoquartzite) 
WVCAe;0,Major,Sedimentary,Carbonate,Limestone,,,Limestone,Bed,thin-bedded blue-gray argillaceous limestone with some siliceous limestone 
WVCAe;0,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,,platy shale 
WVCAe;0,Minor,Sedimentary,Carbonate,Dolostone,,,Dolostone,, 
WVCAh;0,Minor,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,,with interbeds of fine-grained quartzite. 
WVCApCAc;0,Major,Metamorphic,Metaigneous,Greenstone,,,Greenstone,,greenstone 
WVCApCAc;0,Incidental,Sedimentary,Clastic,Sandstone,Arkose,,Arkose,,Includes minor quantities of arkose and thin clastics 
WVPd;0,Minor,Sedimentary,Coal,,,,Coal,, 
WVCAt;0,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone,,"thick-bedded, blue-gray, aphanitic, saccharoidal, and splintery dolomite, weathering coffee-brown; Contains commercial beds of white, pure, low-silica dolomite. "
