state,orig_label,map_sym1,map_sym2,unit_link,prov_no,province,unit_name,unit_age,unitdesc,strat_unit,unit_com,map_ref,rocktype1,rocktype2,rocktype3,unit_ref,map_symb2
WV  ,Qal,Qal,Qal;0,WVQal;0,0,,Quaternary Alluvium,Quaternary,"Quaternary Alluvium - alluvial deposits of sand, gravel, silt, and clay. ",,,WV002,alluvium,,,WV001 ,
WV  ,Obs,Obs,Obs;0,WVObs;0,0,,Stonehenge Limestone,Ordovician,"Stonehenge Limestone - gray, thin-bedded to massive, fossiliferous limestone, largely mechanically deposited, with small black chert nodules and beds of ""edgewise"" conglomerate. The highly resistant Stoufferstown Limestone member is found at the base. ",,"Thickness: Northeastern - Stonehenge 800 ft, Northeastern - Stoufferstown 200 ft.",WV002,limestone,chert,conglomerate,WV001 ,
WV  ,Dhs,Dhs,Dhs;0,WVDhs;0,0,,Hampshire Formation,Devonian,"Hampshire Formation - non-marine shales and fine micaceous sandstones, mostly red to brownish-gray, including siltstone, sandstone and conglomerate. Generally distinguishable from the underlying Chemung by non-marine character and red color.",,Thickness: Northeastern 1710-3350 ft,WV002,shale,sandstone,siltstone; conglomerate,WV001 ,
WV  ,Dm,Dm,Dm;0,WVDm;0,0,,Marcellus Formation,Devonian,"Marcellus Formation (part of Millboro Shale) - predominantly gray-black to black thinly laminated non-calcareous pyritic shale. Contains one or more thin-bedded limestones, including the Purcell Member of Pennsylvania.",,"Thickness: Northeastern 200-880 ft, Western 170 ft, Southeastern 100-300 ft",WV002,black shale,limestone,,WV001 ,
WV  ,Ca,CAa,CAa;0,WVCAa;0,0,,Antietam Formation,Cambrian,"Antietam Formation (Chilhowee Group) - gray to white quartzite, sandstone and quartz-schist; thick-bedded, and resistant; contains Scolithus.",,"Thickness: Northeastern 550 ft, Southeastern - Chilhowee Group 1200 ft (estimate only).",WV002,quartzite,sandstone,schist,WV001 ,
WV  ,Cc,CAc,CAc;0,WVCAc;0,0,,Conococheague Formation,Cambrian,"Conococheague Formation - predominantly algal and mechanically deposited limestone, with interbeds of aphanitic limestone and dolomite. Contains siliceous and dolomitic laminations. Resistant sandy Big Spring Station Member near the base.",,"Thickness: Northeastern - Copper Ridge Dolomite 1850 ft, Northeastern - Conococheague 2220 ft, Northeastern - Big Spring Station 220 ft, Southeastern - Copper Ridge Dolomite 1000 ft (estimate only). ",WV002,limestone,dolostone (dolomite),orthoquartzite,WV001 ,
WV  ,Ce,CAe,CAe;0,WVCAe;0,0,,Elbrook Formation,Cambrian,"Elbrook Formation - thin-bedded blue-gray argillaceous limestone and platy shale, with some siliceous limestone and minor dolomite.",,"Thickness: Northeastern 2000-2100 ft, Southeastern 2500 ft (estimate only). ",WV002,limestone,shale,dolostone (dolomite),WV001 ,
WV  ,Ch,CAh,CAh;0,WVCAh;0,0,,Harpers Formation,Cambrian,"Harpers Formation (Chilhowee Group) - greenish-gray phyllite, with interbeds of fine-grained quartzite.",,"Thickness: Northeastern 1200 ft, Southeastern - Chilhowee Group 1200 ft (estimate only).",WV002,phyllite,quartzite,,WV001 ,
WV  ,CPCc,CApCAc,CApCAc;0,WVCApCAc;0,0,,Catoctin Formation,Cambrian/Precambrian,"Catoctin Formation - predominantly a greenstone. Basic lava flows, schist and gneiss, containing chlorite, plagioclase, amphibolite, and epidote. Includes minor quantities of arkose and thin clastics. Western subsurface extension presently unknown.",,Thickness: Northeastern - Catoctin Formation (mainly greenstone) 1400 ft.,WV002,greenstone,schist,gneiss; amphibolite; arkose,WV001 ,
WV  ,Ct,CAt,CAt;0,WVCAt;0,0,,Tomstown Dolomite,Cambrian,"Tomstown Dolomite - thick-bedded, blue-gray, aphanitic, saccharoidal, and splintery dolomite, weathering coffee-brown; some siliceous limestone and black chert. Contains commercial beds of white, pure, low-silica dolomite.",,"Thickness: Northeastern 1000 ft, Southeastern - Shady-Tomstown Dolomite 800 ft (estimate only).",WV002,dolostone (dolomite),limestone,chert,WV001 ,
WV  ,Cw,CAw,CAw;0,WVCAw;0,0,,Weverton-Loudoun Formation,Cambrian,"Weverton-Loudoun Formation (Chilhowee Group) - tough quartzitic sandstones, conglomerates, and shale. ",,"Thickness: Northeastern 1400 ft, Southeastern - Chilhowee Group 1200 ft (estimate only).",WV002,sandstone,shale,conglomerate,WV001 ,
WV  ,Cwy,CAwy,CAwy;0,WVCAwy;0,0,,Waynesboro Formation,Cambrian,"Waynesboro Formation - variegated shale and sandstone, commonly red or brown. Middle zone contains much dolomite and limestone. Contains the Olenellus fauna of Early Cambrian age, although its upper portion may be of Middle Cambrian age.",,Thickness: Northeastern 1000 ft.,WV002,shale,sandstone,limestone; dolostone (dolomite),WV001 ,
WV  ,Db,Db,Db;0,WVDb;0,0,,Brallier Formation,Devonian,"Brallier Formation - predominantly olive-gray to dark, thickly laminated marine shale, with considerable siltstone and thin sandstone lenses; mainly nonfossiliferous.",,"Thickness: Northeastern 1300-2170 ft, Western 1105 ft, Southeastern 400-1600 ft",WV002,shale,siltstone,sandstone,WV001 ,
WV  ,Dbh,Dbh,Dbh;0,WVDbh;0,0,,"Brallier Formation and Harrell Shale, undivided",Devonian,"Brallier Formation and Harrell Shale, undivided - Brallier Formation : predominantly olive-gray to dark, thickly laminated marine shale, with considerable siltstone and thin sandstone lenses; mainly nonfossiliferous. Harrell Shale: dark gray to black thinly laminated to fissile shale. Calcareous shale and limestone lenses near the base (Tully).",,"Printed map has no indiviual description for this unit and no name, but has individual symbol and color. Only uses brackets to combine Db and Dh. Dbh is used in digital map, so combined Db and Dh together and called this the ""Brallier Formation and Harrell Shale, undivided"". Combined thickness: Northeastern 1300-2470 ft, Western 1410 ft, Southeastern 450-1700 ft",WV002,shale,siltstone,sandstone; limestone,WV001 ,
WV  ,Dch,Dch,Dch;0,WVDch;0,0,,Chemung Group,Devonian,Chemung Group - gray to brown siltstone and sandstone with shale and conglomeratic interbeds; mainly marine and sparingly fossiliferous; boundaries gradational. Can be divided into the Voreknobs and Scherr Formations along the Allegheny Front. Parkhead Sandstone Member near base.,,"Thickness: Northeastern 2115-3000 ft, Western 1665 ft, Southeasten 500-1600 ft",WV002,siltstone,sandstone,shale; conglomerate,WV001 ,
WV  ,Dh,Dh,Dh;0,WVDh;0,0,,Harrell Shale,Devonian,Harrell Shale (part of Millboro Shale) - dark gray to black thinly laminated to fissile shale. Calcareous shale and limestone lenses near the base (Tully).,,"Thickness: Northeastern 0-300 ft, Western 305 ft, Southeastern 50-100 ft",WV002,shale,limestone,,WV001 ,
WV  ,Dhl,Dhl,Dhl;0,WVDhl;0,0,,Helderberg Group,Devonian,"Helderberg Group - mostly cherty limestone, with some sandstone and shale. Contains several named stratigraphic units, including the Keyser Formation, which is partly Silurian and includes the Clifton Forge Sandstone and Big Mountain Shale Members.",,"Includes: Rocky Gap Sandstone (USGS) used on Southeastern columnar section. Thickness: Northeastern 350-445 ft, Western 210 ft, Southeastern 0-50 ft, Southeastern - Rocky Gap Sandstone 175 ft.",WV002,limestone,sandstone,shale,WV001 ,
