,unit_link,lith_rank,lith1,lith2,lith3,lith4,lith5,low_lith,lith_form,lith_com
0,MDMp;1,Incidental,Sedimentary,Coal,,,,Coal,, 
1,MDSm;1,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
2,MDCAwb;1,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
3,MDjg;4,Major,Metamorphic,Amphibolite,,,,Amphibolite,,quartz amphibolite 
4,MDPd;1,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
5,MDSwb;1,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
6,MDQu;5,Major,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,, 
7,MDPAap;1,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone ,,
8,MDOs;1,Major,Sedimentary,Carbonate,Limestone,,,Limestone ,,
9,MDPAap;1,Major,Sedimentary,Clastic,Sandstone,,,Sandstone ,,
10,MDTc;5,Major,Unconsolidated,Fine-detrital,Clay,,,Clay,, 
11,MDPd;1,Incidental,Sedimentary,Coal,,,,Coal,, 
12,MDif;3,Incidental,Metamorphic,Metaigneous,Greenstone,,,Greenstone,, 
13,MDMp;1,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,,"interbedded gray and reddish-brown shale, mudstone, and siltstone "
14,MDbgb;7,Major,Igneous,Plutonic,Gabbroic,Gabbro,,Gabbro,, 
15,MDbgb;7,Minor,Igneous,Plutonic,Gabbroic,Gabbro,Norite,Norite,, 
16,MDbgb;7,Minor,Igneous,Plutonic,Ultramafic,Pyroxenite,,Pyroxenite,, 
17,MDCAa;2,Major,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,, 
18,MDCAa;2,Minor,Metamorphic,Metasedimentary,Metaclastic,Phyllite,,Phyllite,, 
19,MDCAe;1,Major,Sedimentary,Carbonate,Limestone,,,Limestone,, 
20,MDCAe;1,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
21,MDCAe;1,Minor,Sedimentary,Carbonate,Dolostone,,,Dolostone,, 
