,state,orig_label,map_sym1,map_sym2,unit_link,prov_no,province,unit_name,unit_age,unitdesc,strat_unit,unit_com,map_ref,rocktype1,rocktype2,rocktype3,unit_ref,map_symb2
0,MD  ,pCsr,pCAsr,pCAsr;2,MDpCAsr;2,2,South Mountain Anticlinorium and Frederick Valley,Swift Run Formation,Late Precambrian,Swift Run Formation - Sericitic quartzite and phyllite; blue and green tuffaceous slate with sericitic blebs; some white marble with interbedded phyllite.,,,MD001,quartzite,phyllite,slate; marble,MD001 MD002,
1,MD  ,Ta,Ta,Ta;5,MDTa;5,5,Coastal Plain,Pamunkey Group; Aquia Formation,Paleocene,"Pamunkey Group; Aquia Formation - Dark green to gray-green, argillaceous, highly glauconitic, well-sorted fine- to medium-grained sand; locally indurated shell beds; thickness 0 to 100 feet.",Pamunkey Group,,MD001,sand,,,MD001 MD002,
2,MD  ,wm,wm,wm;3,MDwm;3,3,Western Piedmont Metasedimentary Rocks,Wakefield Marble,Late Precambrian (?),"Wakefield Marble - White, fine-grained marble; subordinate white, green, and pink variegated marble; and blue marble.",,,MD001,marble,,,MD001 MD002,
3,MD  ,Pd,Pd,Pd;1,MDPd;1,1,Allegheny Plateau and Valley and Ridge,Dunkard Group,Permian,"Dunkard Group - Red and green shale, siltstone, and sandstone, with thin lenticular beds of argillaceous limestone and thin beds of impure coal; thick-bedded, white conglomeratic sandstone at base; thickness greater than 200 feet; occurs only on hilltop",,,MD001,shale,siltstone,sandstone; limestone; coal,MD001 MD002,
4,MD  ,if,if,if;3,MDif;3,3,Western Piedmont Metasedimentary Rocks,Ijamsville Formation,Late Precambrian (?),"Ijamsville Formation - Blue, green, or purple phyllite and phyllitic slate, with interbedded metasiltstone and metagraywacke; flattened pumiceous blebs occur locally.",,"secondary unit description from USGS Geologic Names Lexicon (ref MD005): Based on stratigraphic interpretation, the age of the Ijamsville Phyllite is changed to Late Proterozoic(?) and Early Cambrian(?). Consists of dusky blue, grayish blue, very dusky red purple, greenish gray to pale olive phyllite and phyllonite with abundant quartz veins and minor slate. Also contains aphanitic to porphyritic greenstone and yellowish gray, fine- to medium-grained sericitic quartzite. ",MD001,phyllite,slate,meta-argillite; metasedimentary rock; greenstone; quartzite,MD001 MD002 MD005,
5,MD  ,OCc,OCAc,OCAc;1,MDOCAc;1,1,Allegheny Plateau and Valley and Ridge,Conococheague Limestone,Upper Cambrian to Lower Ordovician ,"Conococheague Limestone - Dark blue, laminated, oolitic, argillaceaous, and siliceous limestone, algal limestone, and flat-pebble conglomerate; siliceous shale partings; some sandstone and dolomite; thickness 1,600 to 1,900 feet.",,,MD001,limestone,conglomerate,shale; sandstone; dolostone (dolomite),MD001 MD002,
6,MD  ,cm,cm,cm;4,MDcm;4,4,Eastern Piedmont Metasedimentary Rocks,Cockeysville Marble,Late Precambrian (?),"Cockeysville Marble - Metadolomite, calc-schist, and calcite marble are predominant; calc-gneiss and calc-silicate marble widespread but minor; thickness about 750 feet.",Glenarm Series,"secondary unit description from USGS Geologic Names lexicon (ref MD005): Author has erected a six-fold stratigraphy for the Cockeysville consisting of five unnamed members and one lens to accommodate the variety of rock types. These are the layered marble member (0 to 200 m), the massive metadolostone member (0 to 400 m), the layered metadolostone member (0 to 1.4 km), the massive metalimestone member (0 to 450 m), which includes the calc-gneiss lens (0 to 225 m), and the phlogopitic metalimestone member (0 to 300 m). Each member is described in detail. Thickness of the Cockeysville overall varies from 0 to 1.4 km, the range of the layered metadolostone. The relative ages of these units are uncertain. Unit as a whole is mapped as Cambrian to Ordovician(?). ",MD001,marble,calc-silicate schist,gneiss,MD001 MD002 MD005,
7,MD  ,bgb,bgb,bgb;7,MDbgb;7,7,Eastern Piedmont Plutonic Rocks - Gabbroic Series,Baltimore Gabbro Complex,Late Precambrian (?) - Early Paleozoic ,"Baltimore Gabbro Complex - Hypersthene gabbro with subordinate amounts of olivine gabbro, norite, anorthositic gabbro, and pyroxenite; igneous minerals and textures well preserved in some rocks, other rocks exhibit varying degrees of alteration and recrystallization with a new metamorphic mineral assemblage.",,,MD001,gabbro,norite,pyroxenite,MD001 MD002,
8,MD  ,Ca,CAa,CAa;2,MDCAa;2,2,South Mountain Anticlinorium and Frederick Valley,Chilhowee Group; Antietam Formation,Cambrian,"Antietam Formation - White to dark gray and brown, thick-bedded, fine- to coarse-grained quartzite with thin argillaceous partings; first occurrence of Lower Cambrian fossils; cleavage generally obscures bedding; increasingly metamorphosed and phyllitic toward east; estimated thickness 300 to 800 feet.",Chilhowee Group,,MD001,quartzite,phyllite,,MD001 MD002,
9,MD  ,Ce,CAe,CAe;1,MDCAe;1,1,Allegheny Plateau and Valley and Ridge,Elbrook Limestone,Cambrian,"Elbrook Limestone - Light blue, laminated, argillaceous limestone and calcareous shale; some dolomite; thickness 1,400 to possibly 3,000 feet.",,,MD001,limestone,shale,dolostone (dolomite),MD001 MD002,
10,MD  ,Cf,CAf,CAf;2,MDCAf;2,2,South Mountain Anticlinorium and Frederick Valley,Frederick Limestone,Cambrian,"Frederick Limestone - Blue, slabby, thin-bedded limestone and minor shale; contains Upper Cambrian (Trempealeauian) faunule; thickness approximately 480 feet.",,,MD001,limestone,shale,,MD001 MD002,
11,MD  ,Ct,CAt,CAt;2,MDCAt;2,2,South Mountain Anticlinorium and Frederick Valley,Tomstown Dolomite,Cambrian,"Tomstown Dolomite - Interbedded light gray to yellowish-gray, thin- to thick-bedded dolomite and limestone; some shale layers; gradational contact with Antietam; thickness 200 to 1,000 feet.",,,MD001,dolostone (dolomite),limestone,shale,MD001 MD002,
12,MD  ,Cwb,CAwb,CAwb;1,MDCAwb;1,1,Allegheny Plateau and Valley and Ridge,Waynesboro Formation,Cambrian,"Waynesboro Formation - Upper part red, gray, and yellowish-brown, thin-bedded siltstone, shale, and ripple-marked, cross-bedded sandstone; lower part interbedded dark gray to red shale and thin-bedded dolomite; thickness approximately 600 feet.",,"secondary unit description from USGS Geologic Names lexicon (ref MD005): Revised the Waynesboro Formation in MD, PA and WV to include the (ascending) Red Run, Cavetown, and Chewsville Members. The Red Run Member consists of interbedded sandstone and sandy, dolomitic limestone (100 to 125 feet thick). The Cavetown Member consists of interbedded dolomite, dolomitic limestone, and a few siliciclastic beds (500 to 600 feet thick). The Chewsville Member consists of interbedded maroon shale, sandstone, dolomitic limestone, and dolomite (100 to 150 feet thick). The Waynesboro overlies the Tomstown Formation and underlies the Elbrook Formation. Age of the Waynesboro is considered Early Cambrian. Source: GNU records (USGS DDS-6; Reston GNULEX). ",MD001,dolostone (dolomite),limestone,siltstone; shale; sandstone,MD001 MD002 MD005,
13,MD  ,cc,cc,cc;4,MDcc;4,4,Eastern Piedmont Metasedimentary Rocks,Cardiff Metaconglomerate,Late Precambrian (?),"Cardiff Metaconglomerate - Silvery-gray, well foliated, micaceous quartz-pebble metaconglomerate and quartzite; apparent maximum thickness 700 feet.",,,MD001,meta-conglomerate,quartzite,,MD001 MD002,
14,MD  ,OCg,OCAg,OCAg;2,MDOCAg;2,2,South Mountain Anticlinorium and Frederick Valley,Grove Limestone,Upper Cambrian to Lower Ordovician ,"Grove Limestone - Dark gray to light dove, thick-bedded limestone; dolomite beds in lower part; highly quartzose limestone at base; Upper Cambrian to Lower Ordovician in age; thickness approximately 590 feet.",,,MD001,limestone,dolostone (dolomite),,MD001 MD002,
15,MD  ,Dch,Dch,Dch;1,MDDch;1,1,Allegheny Plateau and Valley and Ridge,"""Chemung"" Formation, Parkhead Sandstone, Brallier Formation, and Harrell Shale",Devonian,"""Chemung"" Formation - Predominantly marine beds characterized by gray to olive-green graywacke, siltstone, and shale; thickened ranges from 2,000 to 3,000 feet; Parkhead Sandstone - Gray to olive-green sandy shale, conglomeratic sandstone and graywacke; present in Washington County, identification uncertain in west; thickness averages 400 feet; Brallier Fomation - (Woodmont Shale of earlier reports). Medium to dark gray, laminated shale and siltstone; weathers to light olive-gray; grain size coarsens upward; thickness about 2,000 feet in west, about 1,7000 feet in east; and Harrell Shale - Dark gray laminated shale; absent in east where Brallier lies directly on Mahantango, Tully Limestone lies near base in west, in subsurface of Garrett County; total thickness in west 140 to 300 feet.",,"""Chemung"", Parkhead, Brallier, and Harrell Formations formerly were designated as Jennings Formation.",MD001,shale,siltstone,sandstone; graywacke; limestone,MD001 MD002 MD005,
16,MD  ,Dh,Dh,Dh;1,MDDh;1,1,Allegheny Plateau and Valley and Ridge,Hampshire Formation,Devonian,"Hampshire Formation - Interbedded red shale, red mudstone, and red to brown cross-bedded siltstone and sandstone; some thin green shale; greenish-gray sandstone and shale toward top; fragmentary plant fossils; thickness 1,400 to 2,000 feet in west, increases to 3,800 feet in east. ",,,MD001,shale,sandstone,mudstone; siltstone,MD001 MD002,
17,MD  ,Dhn,Dhn,Dhn;1,MDDhn;1,1,Allegheny Plateau and Valley and Ridge,"Hamilton Group (including Mahantango Formation and Marcellus Shale), and including Tioga Metabentontite Bed, and Needmore Shale",Devonian,"Hamilton Group including Mahantango Formation - Dark gray, laminated shale, siltstone, and very fine-grained sandstone; thickness 600 feet in west, increases to 1,200 feet in east, and Marcellus Shale - Gray-black, thinly laminated, pyritic, carbonaceous shale; thickness 250 feet in east, increases to 500 feet in west. Also includes Tioga Metabentonite Bed - Brownish-gray, thinly laminated shale containing sand-size mica flakes; thickness less than one foot; and Needmore Shale - Olive-gray to black shale and dark, thin-bedded, fossiliferous, argillaceous limestone; thickness ranges from 70 to 145 feet.",Hamilton Group,"Hamilton Group, Tioga Metabentonite Bed, and Needmore Shale formerly were designated as Romney Formation.",MD001,shale,siltstone,sandstone; black shale; limestone,MD001 MD002,
18,MD  ,Do,Do,Do;1,MDDo;1,1,Allegheny Plateau and Valley and Ridge,Oriskany Group including Ridgeley Sandstone and Shriver Chert,Devonian,"Oriskany Group, including Ridgeley Sandstone - White, medium- to coarse-grained, fossiliferous, calcareous orthoquartzite; thickness 160 feet in west. Medium to dark gray cherty, arenaceous limestone in east; thickness 50 feet; and Shriver Chert - Dark gray, brown, and black silty shales, cherty shales, and nodular and bedded black chert; fossiliferous; thickness 170 feet in west, upper boundary gradational with Ridgeley. Thickness 14 feet in east where the lower Shriver intertongues with the Licking Creek Limestone Member of the Helderberg Formation",Oriskany Group,,MD001,orthoquartzite,shale,chert; limestone; black shale,MD001 MD002,
19,MD  ,DShk,DShk,DShk;1,MDDShk;1,1,Allegheny Plateau and Valley and Ridge,Helderberg Formation and Keyser Limestone,Devonian,"Helderberg Formation, including Licking Creek Limestone Member - (Becraft Limestone of earlier reports.) Present only in east. Medium gray, medium-grained limestone near top; bedded black chert and thin-bedded limestone in middle; silty argillaceous limestone and shale near base; contains tongues of Shriver and Mandata; thickness 110 feet; Mandata Shale Member - Dark brown to black, thin-bedded shale; fossiliferous; thickness 20 to 30 feet in west, intertongues with Licking Creek Limestone Member in east; Corriganville Limestone Member (Head) - (New Scotland Limestone of earlier reports.) Medium gray, medium-grained, medium-bedded limestone, interbedded with chert; fossiliferous; thickness 15 to 30 feet; New Creek Limestone Member - (Coeymans Limestone of earlier reports.) Medium gray, thick-bedded, coarse-grained limestone; fossiliferous; thickness 9 to 10 feet. Limestone changes facies eastward into sandstone, the Elbow Ridge Sandstone Member - Medium-bedded, medium- to coarse-grained, calcarous sandstone; thickness 10 to 18 feet.; and the Keyser Limestone - Dark gray, thin- to thick-bedded, fine- to coarse-grained calcarenite; contains nodular limestone, dolomitic limestone, and calcarous shale; cherty near top; fossiliferous; thickness 200 to 300 feet.",,,MD001,limestone,chert,shale; black shale; sandstone,MD001 MD002,
20,MD  ,gm,gm,gm;7,MDgm;7,7,Eastern Piedmont Plutonic Rocks - Gabbroic Series,Georgetown Mafic Complex,Late Precambrian (?) - Early Paleozoic ,"Georgetown Mafic Complex - Poorly exposed complex of tonalite, dark quartz diorite, gabbro, amphibolite, and undifferentiated basic rocks.",,"secondary unit description from the USGS Geologic Names lexicon (ref MD005): The Georgetown Intrusive Suite is divided into six mappable units in the map area and consists of a biotite tonalite, garnetiferous biotite-hornblende tonalite, biotite-hornblende tonalite, quartz gabbro and quartz diorite, metapyroxenite and hornblendite, and serpentinite and talc schist. The Georgetown is predominantly made up of the mafic biotite-hornblende tonalite, and the quartz gabbro and biotite tonalite make up smaller plutons. Possibly five intrusive phases can be identified within this intrusive suite that intrudes surrounding metasedimentary rocks. The Georgetown Intrusive Suite is of Early Ordovician age. ",MD001,tonalite,quartz diorite,quartz gabbro; amphibolite; hornblendite; serpentinite; schist,MD001 MD002 MD005,
21,MD  ,hf,hf,hf;2,MDhf;2,2,South Mountain Anticlinorium and Frederick Valley,Chilhowee Group; Harpers Formation,Cambrian,"Harpers Formation - Brown to dark bluish-gray banded shale, to light bluish-gray, finely laminated phyllite; distinctively pale purple in basal part; bedding obscured by cleavage; increasingly metamorphosed toward east from shale to slate and phyllite; estimated thickness 2,000 feet.",Chilhowee Group,"secondary unit description from USGS Geologic Names lexicon (ref MD005): The Harpers Formation is predominantly a dark-greenish-gray to brownish-gray, very fine-grained, laminated to massively bedded, phyllitic metasiltstone. The base of the unit is locally sharp, but is transitional with the underlying quartz-pebble conglomeratic quartzite of the upper member of the Weverton Formation. The metasiltstone is highly cleaved and bedding is obscure. Thickness of the Harpers in the mapped area is 732 meters. The Harpers Formation overlies the Weverton Formation and underlies the Antietam Quartzite. The unit is of Early Cambrian age. ",MD001,shale,phyllite,slate,MD001 MD002 MD005,
22,MD  ,QTu,QTu,QTu;5,MDQTu;5,5,Coastal Plain,Upland Deposits (Western Shore),Quaternary,"Upland Deposits (Western Shore) - Gravel and sand, commonly orange-brown, locally limonite-cemented; minor silt and red, white, or gray clay; (includes Brandywine, Bryn Mawr, and Sunderland Formations of earlier reports); lower gravel member and upper loam member in Southern Maryland; thickness 0 to 50 feet.",,,MD001,gravel,sand,silt; clay or mud,MD001 MD002,
