tile_number,original_index,easting,northing,i,j,hilltop_id,Cht,S,R,Lh,BasinID,a,b,StreamID,HilltopSlope,DivergentCount,PlanarCountFlag,E_Star,R_Star,EucDist,EPSG,latitude,longitude,an_avg_ETR,an_avg_TMAX,an_avg_TMIN,an_cv_AET,an_cv_ETR,an_cv_PET,an_cv_PRCP,an_cv_WDI,an_sd_GDD0,an_sd_GDD5,an_sd_TMAX,an_sd_TMIN,an_sum_AET,an_sum_GDD0,an_sum_GDD5,an_sum_PET,an_sum_PRCP,an_sum_WDI,index_right,prov_no,map_symb2
0,39433.0,597127.0,4239690.0,1389.0,1953.0,2.0,-0.011543,0.290212,39.8051,139.04,219.0,1513.0,1991.0,1.0,0.21964,25.0,138.0,3.65332,0.362765,131.885,32617.0,38.29998700338372,-79.88927384248925,0.9782529583469342,-1.0048484623883709,-11.878636098128151,1.1466400920581852,0.06037968463234954,1.1390762948433495,0.40117709286188313,0.3506914497967571,120.57144967701161,57.70969591709146,11.409201710042373,12.894360018860219,119.11818359318104,974.8545599810102,397.290915011005,119.70909269289537,1670.4636612554843,1550.754568562589,115.0,1.0,
1,39448.0,638519.0,4266610.0,1548.0,1528.0,2.0,-0.00773507,0.291403,58.9718,207.721,95.0,1498.0,1770.0,1.0,0.207585,25.0,231.0,3.66478,0.364254,198.51,32617.0,38.537207034629645,-79.41064874936288,0.9963065669528116,-1.8641666249992948,-12.665605777507704,1.3313423558287831,0.012370041140353217,1.3292848659149767,0.4979055677463803,0.46431439031525285,110.03425334779708,48.48076439943943,11.331951627191625,12.727769467969159,71.61818288537589,858.0545582405546,322.16364116424865,71.718182886866,1675.3818431469526,1603.6636602600868,115.0,1.0,
2,6658.0,646619.0,4273060.0,660.0,1601.0,1.0,-0.008676,0.335425,86.678,278.67,137.0,848.0,1424.0,1.0,0.195757,35.0,260.0,5.09796,0.419281,255.119,32617.0,38.5939713816991,-79.31639220538081,0.9963065669528116,-1.8641666249992948,-12.665605777507704,1.3313423558287831,0.012370041140353217,1.3292848659149767,0.4979055677463803,0.46431439031525285,110.03425334779708,48.48076439943943,11.331951627191625,12.727769467969159,71.61818288537589,858.0545582405546,322.16364116424865,71.718182886866,1675.3818431469526,1603.6636602600868,115.0,1.0,
3,63707.5,704428.0,4320970.0,2285.0,1274.0,1.0,-0.005389855,0.27890950000000003,84.81219999999999,297.15049999999997,322.0,2110.0,1433.0,1.0,0.253029,14.0,341.0,3.46299,0.3486365,285.717,32617.0,39.013871410078934,-78.63882253549652,0.9845918653374922,-1.4724999670870602,-12.210151242233362,1.360709878413565,0.047323121313359716,1.3565198639291367,0.5133330498819142,0.47462062734609295,114.79187212979518,53.17517932085355,11.40316324403705,12.372505527330722,77.66363752091473,899.754558861933,356.2000053077936,77.83636479621583,1506.3818406286564,1428.5454758324406,115.0,1.0,
4,35171.5,660839.0,4339880.0,996.0,1607.0,2.0,-0.005005795,0.2848315,61.1134,214.8485,409.0,1083.0,1859.0,1.0,0.22980450000000002,21.0,238.5,2.5375550000000002,0.3560395,208.9845,32617.0,39.19334350821467,-79.1375194435778,0.983168044077135,-3.57015143535241,-14.095984533415034,1.4874236961459777,-inf,1.4857393969100179,0.49857263710287847,0.4764645300482584,88.15171953219922,30.99329028958622,11.153536282706552,12.55595486006705,44.34545520625331,649.4909187690778,192.900002874434,44.37272793393243,1747.8545714996078,1703.4818435656753,115.0,1.0,
5,48271.5,727007.0,4365190.0,1424.0,1542.0,2.0,-0.0042505749999999995,0.2745605,75.89845,291.2795,374.0,1519.0,1296.0,1.0,0.1799505,12.0,338.0,2.7383949999999997,0.3432,281.753,32617.0,39.40646286959044,-78.3634269847418,0.9889001806785445,-0.894393919402677,-11.342575504049433,1.4337698605507192,-inf,1.4313849915035266,0.4946019890099628,0.45719920094638683,122.5408593304004,60.29481219377841,11.36247984668757,12.141304989110314,74.55454656549476,974.9818327101794,409.0545515499332,74.65454656698488,1495.4091131924229,1420.754566625438,115.0,1.0,
6,15449.0,751295.0,4404170.0,640.0,1690.0,1.0,-0.004395,0.284899,86.6167,301.834,219.0,840.0,1838.0,1.0,0.230512,13.0,360.0,2.62613,0.356124,292.161,32617.0,39.75040385118747,-78.06686321901465,0.9701087340415404,-3.268484775428519,-12.866439106352063,1.6168265309384215,-1.7e+308,1.6147033057850706,0.4921513634297064,0.46129011143118265,97.58499752592947,39.039386769277684,11.512260205808603,12.012169676902596,50.945455304600976,733.409101837738,248.96364007348365,51.00000075995922,1461.9545672393658,1410.9545664794066,114.0,19.0,
7,17313.5,686455.0,4386470.0,862.0,1385.0,1.0,-0.003735385,0.235619,47.915549999999996,216.0485,243.0,941.0,1591.0,1.0,0.178691,6.0,269.0,1.772665,0.2945235,208.8985,32617.0,39.60764149537758,-78.82814037730381,0.9910894660894661,-3.5438635571521115,-13.463408789978446,1.4800758443724695,-inf,1.4790432691591555,0.507207660021796,0.47036345935434243,94.69290274048215,36.75169686030963,11.606329566199049,12.277745890170781,64.84545551172711,711.5545560575345,237.67273081432688,64.87272823940624,1493.036385884339,1428.163657644933,115.0,1.0,
8,48748.5,709105.0,4402090.0,1442.0,1100.0,1.0,-0.00310516,0.17726150000000002,47.55145,260.468,365.0,1707.0,1388.0,1.0,0.1489,0.0,336.0,1.780875,0.221577,254.196,32617.0,39.74307453719609,-78.55950451861844,0.9910894660894661,-3.5438635571521115,-13.463408789978446,1.4800758443724695,-inf,1.4790432691591555,0.507207660021796,0.47036345935434243,94.69290274048215,36.75169686030963,11.606329566199049,12.277745890170781,64.84545551172711,711.5545560575345,237.67273081432688,64.87272823940624,1493.036385884339,1428.163657644933,114.0,19.0,
9,30431.5,709823.0,4434420.0,1909.0,1107.0,1.0,-0.00292921,0.1540425,37.002700000000004,231.989,256.0,1777.0,1392.0,1.0,0.119975,0.0,291.0,1.46452,0.192553,224.62900000000002,32617.0,40.033873768791196,-78.5408310373525,0.9949494949494949,-5.788030173657744,-15.494999653659761,1.5420556806655592,0.018127570663193725,1.5408962133014699,0.5142297207673879,0.4850661305890957,66.58785881492257,17.8837270061482,11.679623806348289,12.057897027945241,49.62727346677672,475.07273435186255,110.76363801414317,49.64545528522947,1577.8727507848632,1528.2272954996336,114.0,19.0,
10,42937.5,728173.0,4447940.0,1013.0,1638.0,2.0,-0.004383155,0.250048,94.00795,338.41499999999996,304.0,1186.0,1940.0,1.0,0.201893,14.0,409.0,3.234585,0.3125595,326.7625,32617.0,40.15080063482222,-78.32115751061127,1.0,-5.921893807029295,-15.004620876741793,1.7830195890261467,-inf,1.7830195890261467,0.4980833794236473,0.47543723112242336,67.22946522459893,17.80399800702761,11.497525699717727,11.898674168607918,33.600000500679016,470.7272797416557,106.83636522834951,33.600000500679016,1474.3636583333666,1440.7636578326876,114.0,19.0,
11,38450.5,756004.0,4455790.0,1216.0,1243.0,1.0,-0.004582055,0.246528,72.11535,303.9235,277.0,1382.0,1257.0,1.0,0.179247,6.0,362.0,2.92125,0.30816,296.0475,32618.0,40.21340973463992,-77.9916154318386,1.0,-5.806211991433167,-14.215454227714377,2.125394468195401,-inf,2.125394468195401,0.48125616686634803,0.4626585584836305,71.37852193890993,20.104329277164656,11.382587038977437,11.699727293228985,26.636364033276383,496.0272801186551,117.7636381184513,26.636364033276383,1432.3909304351969,1405.7545664019206,114.0,19.0,
12,30155.5,807820.0,4468930.0,1310.0,1316.0,1.0,-0.00640739,0.2345295,45.52865,201.006,303.0,1146.0,1258.5,1.0,0.20173649999999999,0.0,244.0,2.362735,0.293162,194.155,32618.0,40.314269366690326,-77.37770171398475,1.0,-5.141363521445204,-13.15204516057433,1.9219077972767977,-inf,1.9219077972767977,0.46390447151612735,0.44269676159623783,79.50387673566736,25.094927175710673,11.310353893640501,11.521231592239133,36.21818235787478,566.3727357123386,151.5363658944314,36.21818235787478,1421.6727484573019,1385.454566099427,114.0,19.0,
13,41293.5,771620.5,4473870.0,2027.0,1914.5,1.0,-0.005539235,0.4014385,83.0258,221.062,636.0,1988.0,1702.0,1.0,0.274592,45.0,228.5,2.7957650000000003,0.5017975,216.2145,32618.0,40.37111517860274,-77.80089381836902,1.0,-5.806211991433167,-14.215454227714377,2.125394468195401,-inf,2.125394468195401,0.48125616686634803,0.4626585584836305,71.37852193890993,20.104329277164656,11.382587038977437,11.699727293228985,26.636364033276383,496.0272801186551,117.7636381184513,26.636364033276383,1432.3909304351969,1405.7545664019206,114.0,19.0,
