,Point_Number,Geometry,Quad,Strike,Dip_Angle,Dip_Direct,Interlimb_angle,Vert_Exag,long,lat,Unnamed: 0,Symbol,geometry,Station,Anticline_ID,Latitude_Bins,Compass_direct,Interlimb_Angle,IA,Lat_bins
0,55,-076.96825355 41.30834530,Muncy/Mont,258.0,22.0,NW,,,-076.96825355,41.3083453,,,POINT (-76.96825355 41.3083453),,,,,,,"(41.0, 41.5]"
1,55,-076.96350493 41.30816171,Muncy/Mont,277.0,15.0,NE,,,-076.96350493,41.30816171,,,POINT (-76.96350493 41.30816171),,,,,,,"(41.0, 41.5]"
2,55,-076.95817155 41.30823901,Muncy/Mont,312.0,25.0,NE,,,-076.95817155,41.30823901,,,POINT (-76.95817155 41.30823901),,,,,,,"(41.0, 41.5]"
3,55,-077.00468325 41.27194296,Muncy/Mont,88.0,26.0,SE,132.0,,-077.00468325,41.27194296,,,POINT (-77.00468325 41.27194296),,,,,,132.0,"(41.0, 41.5]"
4,55,-076.95817155 41.30823901,M_M_crosssection_nittany,,,,112.0,,-076.95817155,41.30823901,,,POINT (-76.95817155 41.30823901),,,,,,112.0,"(41.0, 41.5]"
5,54,-076.98674582 41.09656954,Allenwood,272.0,39.0,NE,,,-076.98674582,41.09656954,,,POINT (-76.98674582 41.09656954),,,,,,,"(41.0, 41.5]"
6,54,-076.98563437 41.09714223,Allenwood,280.0,48.0,NE,,,-076.98563437,41.09714223,,,POINT (-76.98563437 41.09714223),,,,,,,"(41.0, 41.5]"
7,9999,-076.98563437 41.09714223,Allenwood_crosssection_white_Deer,,,,105.0,,-076.98563437,41.09714223,,,POINT (-76.98563437 41.09714223),,,,,,105.0,"(41.0, 41.5]"
8,52,-077.21824119 40.68873856,Millerstown,81.0,48.0,SE,,,-077.21824119,40.68873856,,,POINT (-77.21824119 40.68873856),,,,,,,"(40.5, 41.0]"
9,52,-077.06654383 40.73369881,Millerstown,75.0,33.0,SE,,,-077.06654383,40.73369881,,,POINT (-77.06654383 40.73369881),,,,,,,"(40.5, 41.0]"
10,52,-077.06748705 40.73525026,Millerstown,90.0,35.0,S,,,-077.06748705,40.73525026,,,POINT (-77.06748705 40.73525026),,,,,,,"(40.5, 41.0]"
11,52,-077.06762317 40.73707186,Millerstown,78.0,26.0,SE,,,-077.06762317,40.73707186,,,POINT (-77.06762317 40.73707186),,,,,,,"(40.5, 41.0]"
12,52,-077.06747185 40.73779149,Millerstown,50.0,8.0,SE,,,-077.06747185,40.73779149,,,POINT (-77.06747185 40.73779149),,,,,,,"(40.5, 41.0]"
13,52,-077.11572544 40.72664631,Millerstown,240.0,21.0,NW,,,-077.11572544,40.72664631,,,POINT (-77.11572544 40.72664631),,,,,,,"(40.5, 41.0]"
14,52,-077.22182133 40.70910541,Millerstown,255.0,38.0,NW,,,-077.22182133,40.70910541,,,POINT (-77.22182133 40.70910541),,,,,,,"(40.5, 41.0]"
15,52,-077.22160049 40.70957457,Millerstown,270.0,39.0,NW,,,-077.22160049,40.70957457,,,POINT (-77.22160049 40.70957457),,,,,,,"(40.5, 41.0]"
16,52,-077.22074194 40.71063064,Millerstown,258.0,44.0,NW,,,-077.22074194,40.71063064,,,POINT (-77.22074194 40.71063064),,,,,,,"(40.5, 41.0]"
17,52,-077.11572544 40.72664631,Millerstown_Shade_Mountain_crosssection,,,,100.0,,-077.11572544,40.72664631,,,POINT (-77.11572544 40.72664631),,,,,,100.0,"(40.5, 41.0]"
18,45,-077.47450052 40.60788575,Mifflintown,78.0,55.0,SE,,,-077.47450052,40.60788575,,,POINT (-77.47450052 40.60788575),,,,,,,"(40.5, 41.0]"
19,45,-077.44375911 40.61812831,Mifflintown,75.0,64.0,SE,,,-077.44375911,40.61812831,,,POINT (-77.44375911 40.61812831),,,,,,,"(40.5, 41.0]"
20,45,-077.35073784 40.65357822,Mifflintown,80.0,60.0,SE,,,-077.35073784,40.65357822,,,POINT (-77.35073784 40.65357822),,,,,,,"(40.5, 41.0]"
21,45,-077.49322856 40.59356613,Mifflintown,258.0,65.0,NW,,,-077.49322856,40.59356613,,,POINT (-77.49322856 40.59356613),,,,,,,"(40.5, 41.0]"
22,45,-077.46109144 40.60503743,Mifflintown,246.0,47.0,NW,,,-077.46109144,40.60503743,,,POINT (-77.46109144 40.60503743),,,,,,,"(40.5, 41.0]"
23,45,-077.45298745 40.60705071,Mifflintown,248.0,44.0,NW,,,-077.45298745,40.60705071,,,POINT (-77.45298745 40.60705071),,,,,,,"(40.5, 41.0]"
24,45,-077.46117821 40.60651680,Mifflintown,250.0,48.0,NW,,,-077.46117821,40.6065168,,,POINT (-77.46117821 40.6065168),,,,,,,"(40.5, 41.0]"
25,45,-077.44495907 40.60486673,Mifflintown,37.0,21.0,SE,,,-077.44495907,40.60486673,,,POINT (-77.44495907 40.60486673),,,,,,,"(40.5, 41.0]"
26,45,-077.44495907 40.60486673,Mifflintown,,,,123.0,,-077.44495907,40.60486673,,,POINT (-77.44495907 40.60486673),,,,,,123.0,"(40.5, 41.0]"
27,43,-077.72341761 40.71909093,Barrville_Grass_Mountain_Crosssection,,,,115.0,,-077.72341761,40.71909093,,,POINT (-77.72341761 40.71909093),,,,,,115.0,"(40.5, 41.0]"
28,43,-077.76131618 40.66820911,Mcalveysfort,240.0,42.0,NW,,,-077.76131618,40.66820911,,,POINT (-77.76131618 40.66820911),,,,,,,"(40.5, 41.0]"
29,43,-077.78272862 40.73023295,Mcalveysfort,260.0,29.0,NW,,,-077.78272862,40.73023295,,,POINT (-77.78272862 40.73023295),,,,,,,"(40.5, 41.0]"
30,43,-077.77956507 40.71755489,Mcalveysfort,75.0,37.0,SE,,,-077.77956507,40.71755489,,,POINT (-77.77956507 40.71755489),,,,,,,"(40.5, 41.0]"
31,43,-077.79118731 40.65254410,Mcalveysfort,235.0,20.0,NW,,,-077.79118731,40.6525441,,,POINT (-77.79118731 40.6525441),,,,,,,"(40.5, 41.0]"
32,43,-077.77956507 40.71755489,Mcalveysfort_Broad_Mountain_crossection,,,,107.0,,-077.77956507,40.71755489,,,POINT (-77.77956507 40.71755489),,,,,,107.0,"(40.5, 41.0]"
33,43,-077.83331238 40.70899324,Mcalveysfort,195.0,65.0,NW,,,-077.83331238,40.70899324,,,POINT (-77.83331238 40.70899324),,,,,,,"(40.5, 41.0]"
34,43,-077.82643896 40.70407194,Mcalveysfort,200.0,28.0,NW,,,-077.82643896,40.70407194,,,POINT (-77.82643896 40.70407194),,,,,,,"(40.5, 41.0]"
35,43,-077.82377166 40.70171678,Mcalveysfort,10.0,40.0,SE,,,-077.82377166,40.70171678,,,POINT (-77.82377166 40.70171678),,,,,,,"(40.5, 41.0]"
36,43,-077.82643896 40.70407194,Mcalveysfort_Greenlee_crosssection,,,,110.0,,-077.82643896,40.70407194,,,POINT (-77.82643896 40.70407194),,,,,,110.0,"(40.5, 41.0]"
37,32,-078.27939079 40.52610520,Frankstown,35.0,17.0,SE,,,-078.27939079,40.5261052,,,POINT (-78.27939079 40.5261052),,,,,,,"(40.5, 41.0]"
38,32,-078.31285622 40.50697172,Frankstown,45.0,26.0,SE,,,-078.31285622,40.50697172,,,POINT (-78.31285622 40.50697172),,,,,,,"(40.5, 41.0]"
39,32,-078.36141093 40.51250120,Frankstown,220.0,23.0,NW,,,-078.36141093,40.5125012,,,POINT (-78.36141093 40.5125012),,,,,,,"(40.5, 41.0]"
40,32,-078.36141093 40.51250120,Frankstown,230.0,21.0,NW,,,-078.36141093,40.5125012,,,POINT (-78.36141093 40.5125012),,,,,,,"(40.5, 41.0]"
41,32,-078.32100985 40.52828982,Frankstown,209.0,16.0,NW,,,-078.32100985,40.52828982,,,POINT (-78.32100985 40.52828982),,,,,,,"(40.5, 41.0]"
42,32,-078.30994413 40.54051275,Frankstown,205.0,30.0,NW,,,-078.30994413,40.54051275,,,POINT (-78.30994413 40.54051275),,,,,,,"(40.5, 41.0]"
