Point_Number,Geometry,Quad,Strike,Dip_Angle,Dip_Direct,Interlimb_angle,Vert_Exag
55,-076.96825355 41.30834530,Muncy/Mont,258,22,NW,,
55,-076.96350493 41.30816171,Muncy/Mont,277,15,NE,,
55,-076.95817155 41.30823901,Muncy/Mont,312,25,NE,,
55,-077.00468325 41.27194296,Muncy/Mont,88,26,SE,132,None
55,-076.95817155 41.30823901,M_M_crosssection_nittany,,,,112,None
54,-076.98674582 41.09656954,Allenwood,272,39,NE,,
54,-076.98563437 41.09714223,Allenwood,280,48,NE,,
,-076.98563437 41.09714223,Allenwood_crosssection_white_Deer,,,,105,None
52,-077.21824119 40.68873856,Millerstown,81,48,SE,,
52,-077.06654383 40.73369881,Millerstown,75,33,SE,,
52,-077.06748705 40.73525026,Millerstown,90,35,S,,
52,-077.06762317 40.73707186,Millerstown,78,26,SE,,
52,-077.06747185 40.73779149,Millerstown,50,8,SE,,
52,-077.11572544 40.72664631,Millerstown,240,21,NW,,
52,-077.22182133 40.70910541,Millerstown,255,38,NW,,
52,-077.22160049 40.70957457,Millerstown,270,39,NW,,
52,-077.22074194 40.71063064,Millerstown,258,44,NW,,
52,-077.11572544 40.72664631,Millerstown_Shade_Mountain_crosssection,,,,100,None
45,-077.47450052 40.60788575,Mifflintown,78,55,SE,,
45,-077.44375911 40.61812831,Mifflintown,75,64,SE,,
45,-077.35073784 40.65357822,Mifflintown,80,60,SE,,
45,-077.49322856 40.59356613,Mifflintown,258,65,NW,,
45,-077.46109144 40.60503743,Mifflintown,246,47,NW,,
45,-077.45298745 40.60705071,Mifflintown,248,44,NW,,
45,-077.46117821 40.60651680,Mifflintown,250,48,NW,,
45,-077.44495907 40.60486673,Mifflintown,37,21,SE,,
45,-077.44495907 40.60486673,Mifflintown,,,,123,None
43,-077.72341761 40.71909093,Barrville_Grass_Mountain_Crosssection,,,,115,None
43,-077.76131618 40.66820911,Mcalveysfort,240,42,NW,,
43,-077.78272862 40.73023295,Mcalveysfort,260,29,NW,,
43,-077.77956507 40.71755489,Mcalveysfort,75,37,SE,,
43,-077.79118731 40.65254410,Mcalveysfort,235,20,NW,,
43,-077.77956507 40.71755489,Mcalveysfort_Broad_Mountain_crossection,,,,107,None
43,-077.83331238 40.70899324,Mcalveysfort,195,65,NW,,
43,-077.82643896 40.70407194,Mcalveysfort,200,28,NW,,
43,-077.82377166 40.70171678,Mcalveysfort,10,40,SE,,
43,-077.82643896 40.70407194,Mcalveysfort_Greenlee_crosssection,,,,110,None
32,-078.27939079 40.52610520,Frankstown,35,17,SE,,
32,-078.31285622 40.50697172,Frankstown,45,26,SE,,
32,-078.36141093 40.51250120,Frankstown,220,23,NW,,
32,-078.36141093 40.51250120,Frankstown,230,21,NW,,
32,-078.32100985 40.52828982,Frankstown,209,16,NW,,
32,-078.30994413 40.54051275,Frankstown,205,30,NW,,
32,-078.28559438 40.62058601,Frankstown,240,53,NW,,
32,-078.28559438 40.62058601,Frankstown_Brush_Mountain_crosssection,,,,130,None
41,-077.77103553 40.38904418,NewtonHamilton,32,40,SE,,
41,-077.76722405 40.40749700,NewtonHamilton,44,41,SE,,
41,-077.76722405 40.40749700,NewtonHamilton_BlueMountain_Crosssection,,,,95,None
44,-077.54404170 40.39356934,Mccoysville_blacklog_Mountain_crosssection,,,,70,None
44,-077.54404170 40.39356934,Mccoysville_tuscarora_mountain_crosssection,,,,89,None
44,-077.54404170 40.39356934,Mccoysville_conococheague_mountan_crosssection,,,,107,None
44,-077.49926218 40.27896559,Loysville_tuscarora_mountain,,,,94,None
44,-077.39960823 40.47781213,Loysville,236,55,NW,,
44,-077.39567420 40.47668097,Loysville,236,40,NW,,
44,-077.39382109 40.47737938,Loysville,234,30,NW,,
44,-077.38069823 40.46970829,Loysville,62,56,SE,,
44,-077.38136493 40.46897291,Loysville,57,58,SE,,
44,-077.37007648 40.47614289,Loysville,43,36,SE,,
47,-077.46447652 40.28813002,Loysville,46,55,SE,,
47,-077.46602854 40.28636866,Loysville,40,63,SE,,
47,-077.39887943 40.30212757,Loysville,236,80,NW,,
47,-077.40117032 40.30028350,Loysville,234,50,NW,,
47,-077.49926218 40.27896559,Loysville,220,35,NW,,
47,-077.41053801 40.32431100,Loysville,214,25,NW,,
47,-077.49926218 40.27896559,Loysville_BowersMountain,,,,105,None
44,-077.54404170 40.39356934,Mccoysville,52,29,SE,,
44,-077.54833363 40.39775293,Mccoysville,228,38,NW,,
44,-077.54833363 40.39775293,Mccoysville_tuscarora_inchannel,,,,114,None
44,-077.62427152 40.45293749,Mccoysville,28,51,SE,,
44,-077.62427152 40.45293749,Mccoysville,15,37,SE,,
44,-077.62259839 40.48525671,Mccoysville,228,50,NW,,
44,-077.62427152 40.45293749,Mccoysville_Blacklog,,,,93,None
27,-078.67383703 39.87229200,Bedford,32,60,SE-overturned,,
27,-078.67287930 39.87436546,Bedford,30,85,SE-overturned,,
27,-078.65722608 39.85156810,Bedford,35,18,SE,,
27,-078.65317086 39.85031722,Bedford,50,23,SE,,
27,-078.69620933 39.84187154,Bedford,202,60,NW,,
27,-078.69873220 39.83884301,Bedford,200,56,NW,,
27,-078.67483846 39.81625724,Bedford,17,25,SE,,
27,-078.71265356 39.81485550,Bedford,190,32,NW,,
27,-078.71900045 39.78923463,Bedford,203,26,NW,,
27,-078.70621148 39.77599350,Bedford,27,18,SE,,
27,-078.72689667 39.76334544,Bedford,208,35,NW,,
27,-078.72753200 39.76491524,Bedford,204,45,NW,,
27,-078.72894504 39.75980695,Bedford,200,58,NW,,
27,-078.71062009 39.75699477,Bedford,45,37,SE,,
27,-078.71507480 39.75340459,Bedford,5,19,SE,,
27,-078.73053273 39.75460265,Bedford,205,28,NW,,
27,-078.73138750 39.75471878,Bedford,200,50,NW,,
27,-078.71507480 39.75340459,Bedford_WellsMountain_1,,,,111,None
27,-078.71507480 39.75340459,Bedford_WellsMountain_2,,,,108,None
27,-078.71507480 39.75340459,Bedford_ManassasGap,,,,107,None
30,-078.59785640 39.80018313,Bedford,22,28,SE,,
30,-078.60708938 39.80443141,Bedford,199,45,NW,,
30,-078.53488861 39.82080850,Bedford,205,10,NW,,
30,-078.52685151 39.81766738,Bedford,0,50,E,,
30,-078.54619031 39.80539153,Bedford,210,30,NW,,
30,-078.54684513 39.80570501,Bedford,203,48,NW,,
30,-078.54838879 39.80599448,Bedford,202,50,NW,,
30,-078.53079085 39.80613477,Bedford,5,12,SE,,
30,-078.53734496 39.79510224,Bedford,21,15,SE,,
30,-078.56504801 39.78088017,Bedford,207,35,NW,,
30,-078.56546947 39.77962136,Bedford,212,50,NW,,
30,-078.54130278 39.75712505,Bedford,30,18,SE,,
30,-078.57266928 39.76788535,Bedford,195,30,NW,,
30,-078.57571771 39.76235892,Bedford,205,40,NW,,
30,-078.56546947 39.77962136,Bedford_TusseyMountain_1,,,,118,
30,-078.56546947 39.77962136,Bedford_TusseyMountain_2,,,,132,
30,-078.56546947 39.77962136,Bedford_TusseyMountain_crosssection,,,,123,
30,-078.56546947 39.77962136,Bedford_EvittsMountain_crosssection,,,,83,
30,-078.56546947 39.77962136,Bedford_WillsMountain_crosssection,,,,136,
43,-077.75800945 40.70140105,mcalveysfort,35,56,SE,,
43,-077.75831978 40.70304214,mcalveysfort,204,30,NW,,
43,-077.75831978 40.70304214,mcalveysfort_RudyRidge_crosssection,,,,105,None
32,-078.34226743 40.53525656,Frankstown,225,23,NW,,
32,-078.29645433 40.60255939,Frankstown,192,30,NW,,
36,-078.24077510 40.58084025,Tyrone,51,25,SE,,
36,-078.24077510 40.58084025,Tyrone-Frankstown,,,,125,None
41,-077.77980068 40.40350277,NewtonHamilton,228,64,NW,,
44,-077.62170681 40.45634634,Mccoysville,20,48,SE,,
44,-077.60612624 40.47471776,Mccoysville,18,37,SE,,
44,-077.60612624 40.47471776,Mccoysville_ShadeMountain,,,,93,None
44,-077.53126263 40.39636479,Mccoysville,80,52,SE,,
44,-077.50909827 40.42670506,Loysville,57,50,NW,,
44,-077.44020077 40.40707004,Loysville,52,35,SE,,
44,-077.49763148 40.43860747,Loysville,230,45,NW,,
44,-077.43837153 40.46421930,Loysville,237,60,NW,,
