Point_Number,Geometry,Quad,Strike,Dip_Angle,Dip_Direct,Interlimb_angle,Vert_Exag
3,-081.06567113 36.99642285,Wytheville,57,36,SE,,
3,-081.06889914 36.99531334,Wytheville,70,34,SE,,
3,-081.07107181 36.99501885,Wytheville,67,36,SE,,
3,-081.07539538 36.99298001,Wytheville,37,40,SE,,
4,-080.92067986 37.30554747,Giles,67,34,SE,,
4,-080.97711049 37.27808232,Giles,255,30,NW,,
4,-080.96996765 37.27653270,Giles,89,35,SE,,
4,-080.98441546 37.27769650,Giles,272,41,NW,,
4,-080.97711049 37.27808232,Giles,,,,104,None
4,-080.59522569 37.27376078,Giles,253,44,NW,,
4,-080.58089790 37.28205394,Giles,65,41,SE,,
4,-080.52887809 37.29447550,Giles,89,23,SE,,
4,-080.46749256 37.32660205,Giles,258,58,NW,,
5,-080.62108191 37.37132921,Giles,64,25,SE,,
5,-080.61391060 37.36306527,Giles,228,20,NW,,
5,-080.60117040 37.39206414,Giles,69,23,SE,,
5,-080.59021644 37.39496338,Giles,64,36,SE,,
5,-080.54949811 37.35953553,Giles,248,28,NW,,
5,-080.53875324 37.36172133,Giles,251,16,NW,,
5,-080.59021644 37.39496338,Giles_SaltPondMountain,,,,141,None
5,-080.53513244 37.35144999,Giles,65,20,SE,,
5,-080.53854040 37.35732861,Giles,253,19,NW,,
5,-080.52898407 37.35558024,Giles,44,10,SE,,
5,-080.52296608 37.35125734,Giles,72,35,SE,,
6,-080.31829189 37.20361457,Ironto,76,40,SE,,
6,-080.31706916 37.20514342,Ironto,55,30,SE,,
6,-080.30280073 37.21777405,Ironto,321,30,NE,,
6,-080.31122048 37.21876192,Ironto,329,14,NE,,
6,-080.32933215 37.22173854,Ironto,250,14,NW,,
6,-080.32720157 37.22135670,Ironto,1,44,N,,
6,-080.32395660 37.22230527,Ironto,3,35,N,,
6,-080.31523358 37.22726101,Ironto,258,18,NW,,
6,-080.30803729 37.20514789,Ironto,74,35,SE,,
6,-080.32372407 37.20452743,Ironto,60,26,SE,,
6,-080.32395660 37.22230527,Ironto,,,,121,None
9,-080.22655933 37.43178748,Looney,52,20,SE,,
9,-080.17746259 37.44006172,Looney,60,28,SE,,
9,-080.14826562 37.45440018,Looney,70,35,SE,,
9,-080.14618422 37.45502637,Looney,65,30,SE,,
9,-080.15559593 37.48372399,Looney,246,32,NW,,
9,-080.20972697 37.47369336,Looney,240,35,NW,,
9,-080.22454851 37.46851067,Looney,210,45,NW,,
9,-080.15559593 37.48372399,Looney_SinkingCreek,,,,117,None
9,-080.15559593 37.48372399,Looney_SinkingCreek,,,,100,None
10,-080.09793417 37.55642224,Lewisburg,76,54,SE,,
