,Strike,Dip_Angle,Symbol,Dip_Direct,geometry,Station,long,lat,Anticline_ID,Latitude_Bins,Compass_direct,Interlimb_Angle
145,30,62,1,120,POINT (-8924735.943675883 4577570.242331695),1998,-80.17330521,37.98584229,6,"(37.5, 38.0]",SE,
144,30,51,1,120,POINT (-8924438.963754132 4578054.450526917),1997,-80.17330521,37.98584229,6,"(37.5, 38.0]",SE,
145,60,25,1,150,POINT (-8894861.450518137 4620503.701510781),96,-79.88525633,38.32008184,12,"(38.0, 38.5]",SE,
62,219,23,1,309,POINT (-8845377.100942057 4651734.99637723),63,-79.43558318,38.50157351,18,"(38.5, 39.0]",NW,104.83333333333333
55,208,39,1,298,POINT (-8844277.313230041 4653018.375198024),56,-79.43558318,38.50157351,18,"(38.5, 39.0]",NW,104.83333333333333
50,213,21,1,303,POINT (-8843973.859415371 4653889.6051069135),51,-79.43558318,38.50157351,18,"(38.5, 39.0]",NW,104.83333333333333
38,31,44,1,121,POINT (-8842959.814759778 4654633.403505558),39,-79.43558318,38.50157351,18,"(38.5, 39.0]",SE,104.83333333333333
34,28,51,1,118,POINT (-8842594.033915361 4655381.192602373),35,-79.43558318,38.50157351,18,"(38.5, 39.0]",SE,104.83333333333333
686,349,43,1,79,POINT (-8820044.046517603 4724603.326067776),726,-79.22914695,39.05074823,21,"(39.0, 39.5]",SE,115.16071428571428
685,200,73,1,290,POINT (-8820104.399792282 4724719.27771345),725,-79.22914695,39.05074823,21,"(39.0, 39.5]",NW,115.16071428571428
684,325,24,1,55,POINT (-8820444.427221438 4724728.638519103),724,-79.22914695,39.05074823,21,"(39.0, 39.5]",SE,115.16071428571428
692,319,45,1,49,POINT (-8819603.676578963 4725417.296693324),732,-79.22914695,39.05074823,21,"(39.0, 39.5]",SE,115.16071428571428
693,256,72,1,346,POINT (-8819586.944239954 4725578.212603448),733,-79.22914695,39.05074823,21,"(39.0, 39.5]",NW,115.16071428571428
912,201,20,1,291,POINT (-8820746.740331857 4725713.038556913),976,-79.22914695,39.05074823,21,"(39.0, 39.5]",NW,115.16071428571428
2027,18,80,4,108,POINT (-8752511.55109227 4721674.279546282),,-78.64254044,39.00980387,27,"(39.0, 39.5]",SE,66.6
